Universe, creation|จักรวาลสร้าง
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|ใช้โดเมนคำทั่วไปหมายถึงจักรวาลนี้ บางภาษาอาจไม่ได้คำเดียวสำหรับจักรวาลและอาจจะต้องใช้วลีเช่น &#39;ฝนดินและสิ่งที่ฟ้า&#39; หรือ &#39;ฟ้าดินและน้ำ &quot;หรือวลีที่อธิบายเช่น&#39; ทุกสิ่งที่คุณสามารถทำได้ เห็น &#39;หรือ&#39; ทุกอย่างที่มีอยู่ &#39;
(1) What words refer to everything we can see?|(1) สิ่งที่คำหมายถึงทุกอย่างที่เราสามารถเห็น?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|จักรวาลสร้างจักรวาล, สวรรค์และโลกจักรวาลทุกอย่างที่มีอยู่
Sky|ท้องฟ้า
Use this domain for words related to the sky.|ใช้โดเมนนี้สำหรับคำที่เกี่ยวข้องกับท้องฟ้า
(1) What words are used to refer to the sky?|(1) คำที่ใช้กล่าวถึงท้องฟ้า?
sky, firmament, canopy, vault|ท้องฟ้า, ท้องฟ้า, ท้องฟ้า, หลุมฝังศพ
(2) What words refer to the air around the earth?|(2) สิ่งที่คำหมายถึงอากาศรอบโลก?
air, atmosphere, airspace, stratosphere, ozone layer|อากาศบรรยากาศน่านฟ้าบรรยากาศชั้นโอโซน
(3) What words are used to refer to the place or area beyond the sky?|(3) คำที่ใช้เรียกสถานที่หรือพื้นที่นอกเหนือจากท้องฟ้า?
heaven, space, outer space, ether, void, solar system|สวรรค์, พื้นที่, พื้นที่รอบนอกอีเทอร์โมฆะระบบสุริยะ
(4) What words describe something in the sky or something that happens in the sky?|(4) คำอธิบายอะไรบางสิ่งบางอย่างในท้องฟ้าหรือบางสิ่งบางอย่างที่เกิดขึ้นในท้องฟ้า?
aerial, heavenly, atmospheric, stratospheric, celestial,|อากาศสวรรค์บรรยากาศใจ, ท้องฟ้า
(5) What words describe the appearance of the sky?|(5) สิ่งที่คำอธิบายลักษณะของท้องฟ้า?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|สีฟ้าใสสีดำ (กลางคืน), เมฆครึ้มเมฆเต็มไปด้วยยอดเยี่ยม, สีดำ, ท้องฟ้ายามค่ำ​​คืน, สังหรณ์, พายุ, สีดำ, ดาวเรียงราย
(6) What words refer to the edge of the sky where it meets the ground?|(6) สิ่งที่คำหมายถึงขอบของท้องฟ้าซึ่งเป็นไปตามพื้นดิน?
horizon, skyline|ขอบฟ้า, เส้นขอบฟ้า
(7) What words refer to something in the sky?|(7) สิ่งที่คำหมายถึงสิ่งที่อยู่ในท้องฟ้า?
heavenly body, celestial body, luminary|ร่างกายสวรรค์เทห์ฟากฟ้า, แสงสว่าง
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) สิ่งที่คำหมายถึงไฟที่ปรากฏในภาคเหนือ (หรือภาคใต้) ท้องฟ้า?
aurora borealis, northern lights|แสงออโรร่า borealis, แสงเหนือ
(9) What words refer to something being in the sky?|(9) สิ่งที่คำหมายถึงบางสิ่งบางอย่างที่อยู่ในท้องฟ้า?
aloft, up in the sky, up in the air,|สูงขึ้นในท้องฟ้าขึ้นไปในอากาศ,
Sun|ดวงอาทิตย์
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|ใช้โดเมนนี้สำหรับคำที่เกี่ยวข้องกับดวงอาทิตย์ ดวงอาทิตย์ไม่สามสิ่งพื้นฐาน มันเคลื่อนที่จะช่วยให้แสงและจะช่วยให้ความร้อน ทั้งสามดำเนินการมีส่วนร่วมในความหมายของมากที่สุดของคำในโดเมนนี้ ตั้งแต่ดวงอาทิตย์ย้ายด้านล่างขอบฟ้าหลายคำเรียกมันหรือการตั้งค่าที่เพิ่มขึ้น เนื่องจากดวงอาทิตย์อยู่เหนือเมฆหลายคำเรียกมันย้ายที่อยู่เบื้องหลังเมฆและเมฆปิดกั้นแสง แสงของดวงอาทิตย์และความร้อนนอกจากนี้ยังก่อให้เกิดผลรอง ดวงอาทิตย์ทำให้เกิดพืชที่จะเติบโตและมันก็ทำให้เกิดความเสียหายกับสิ่ง
(1) What words refer to the sun?|(1) สิ่งที่คำหมายถึงดวงอาทิตย์?
sun, solar, sol, daystar, our star|อาทิตย์, พลังงานแสงอาทิตย์, โซล, Daystar, ดาวของเรา
