Universe, creation|Даҳр, таъсиси
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Истифода аз ин домен барои калимаҳои умумӣ бо ишора ба коинот ҷисмонӣ. Баъзе забонҳои шояд як калима ягона барои коинот надорад ва метавонад дошта бошад, ба истифода ибора ба монанди «борон, хок, ва он чи аз осмон» ё «осмон, замин, об ва ё дар як ибора баёниро, ба монанди:« Ҳар кореро ки шумо метавонед &#39;ё&#39; чизе, ки вуҷуд дорад &#39;дид.
(1) What words refer to everything we can see?|(1) Чӣ ба ҳар чизеро ба суханони дахл мо метавонем мебинад?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|даҳр, офариниш, cosmos, осмон ва замин, macrocosm, ҳар чизе, ки вуҷуд дорад
Sky|Осмон
Use this domain for words related to the sky.|Истифода аз ин домен барои калимаҳои вобаста ба осмон.
(1) What words are used to refer to the sky?|(1) чӣ гуна калимаҳо истифода бурда мешавад, ба ишора ба осмон?
sky, firmament, canopy, vault|осмон, firmament, биное, анбор
(2) What words refer to the air around the earth?|(2) Кадом суханони ба ҳаво дар гирди замин ишора?
air, atmosphere, airspace, stratosphere, ozone layer|ҳаво, атмосфера, фазои њавої, stratosphere, қабати озон
(3) What words are used to refer to the place or area beyond the sky?|(3) Кадом калимаҳо истифода бурда мешавад, ба ишора ба он ҷо ва ё майдони берун аз осмон?
heaven, space, outer space, ether, void, solar system|осмон, фазо, фазои чодари, ether, ботил, системаи офтобӣ
(4) What words describe something in the sky or something that happens in the sky?|(4) Кадом суханони тавсиф чизе ки дар осмон ё чизе, ки дар осмон рӯй медиҳад?
aerial, heavenly, atmospheric, stratospheric, celestial,|ҳавоӣ, осмонӣ, атмосфера, stratospheric, фалаке шиноваранд,
(5) What words describe the appearance of the sky?|(5) Аз кадом суханони тасвир намуди осмон?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|кабуд, равшан, Сиёҳ (шабона), абрнок, абр пур, ьилодиҳанда, торик, осмон шаб, foreboding, тӯфонӣ, торик, ситораи studded
(6) What words refer to the edge of the sky where it meets the ground?|(6) Кадом суханони ба канори осмон, ки дар он ҷавобгӯ замин ишора?
horizon, skyline|уфуқи, skyline
(7) What words refer to something in the sky?|(7) Кадом суханони ба чизе ки дар осмон ишора?
heavenly body, celestial body, luminary|ҷисми осмонӣ, мақоми осмонии, luminary
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Кадом суханони ба чароғҳои, ки дар шимол (ё ҷанубии) осмон пайдо ишора?
aurora borealis, northern lights|borealis Аврора, чароғҳои шимоли
(9) What words refer to something being in the sky?|(9) Кадом суханони ба чизе будан дар осмон ишора?
aloft, up in the sky, up in the air,|Ӯрост, то ки дар осмон, то дар ҳаво,
Sun|Офтоб
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Истифода аз ин домен барои калимаҳои марбут ба офтоб. Офтоб аз се чиз асосии. Он бармеангезад, аз он нур медиҳад, ва он гармӣ медиҳад. Аз ин се амал дар маънои бисёре аз суханони дар ин самти љалб. Аз офтоб поён уфуқи бармеангезад, суханони бисьёр ба он муқаррар ва ё тулӯъи муроҷиат кунед. Аз офтоб аст ва бартар аз абрҳо, суханони бисьёр ба он ишора ҳаракат пушти абрҳо ва абрҳои бастани нури худро. Рӯшноӣ ва гармии офтоб низ истеҳсол таъсири миёна. Офтоб сабаби нерӯгоҳи рӯёнидем, ва он боиси зарари ба ашё расонидашуда.
(1) What words refer to the sun?|(1) Кадом суханони ба офтоб ишора?
sun, solar, sol, daystar, our star|офтоб, офтобӣ, С., daystar, ситораи мо
