Universe, creation|Universe, tvorba
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Použite túto doménu pre všeobecných slov s odkazom na fyzickom vesmíru. Niektoré jazyky nemusia mať jediné slovo pre vesmír a môže mať použiť frázu ako &quot;dážď, pôda a veci na nebi&quot; alebo &quot;nebo, zem, a voda&quot; alebo opisné frázy ako &quot;všetko, čo môžete pozri &quot;alebo&quot; všetko, čo existuje &quot;.
(1) What words refer to everything we can see?|(1) Aké slová odkazujú na všetko, čo môžeme vidieť?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|vesmír, tvorba, kozmos, neba a zeme, makrokosmos, všetko, čo existuje
Sky|Obloha
Use this domain for words related to the sky.|Použite túto doménu pre slov týkajúcich sa oblohe.
(1) What words are used to refer to the sky?|(1) Aké slová sú používané odkazovať sa na oblohe?
sky, firmament, canopy, vault|nebo, obloha, baldachýn, klenba
(2) What words refer to the air around the earth?|(2) Čo slová sa vzťahujú na vzduchu okolo Zeme?
air, atmosphere, airspace, stratosphere, ozone layer|vzdušného, ​​atmosféru, vzdušný priestor, stratosféra, ozónovej vrstvy
(3) What words are used to refer to the place or area beyond the sky?|(3) Aké slová sú používané sa odkazovať na miesto alebo oblasť mimo neba?
heaven, space, outer space, ether, void, solar system|neba, priestor, vesmír, éter, void, slnečná sústava
(4) What words describe something in the sky or something that happens in the sky?|(4) Aké slová popísať niečo na oblohe, alebo niečo, čo sa deje na oblohe?
aerial, heavenly, atmospheric, stratospheric, celestial,|anténa, nebeský, atmosférický, stratosfére, nebeská,
(5) What words describe the appearance of the sky?|(5) Čo slová popisujú vzhľad neba?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|modrý, číry, čierny (nočné), oblačno, oblak naplnil, brilantný, temné, nočná obloha, predtucha, búrlivý, tmavý, hviezda husto
(6) What words refer to the edge of the sky where it meets the ground?|(6) Aké slová odkazujú na okraji oblohy, kde sa stretáva na zem?
horizon, skyline|horizont, panoráma
(7) What words refer to something in the sky?|(7) Aké slová odkazujú na niečo, čo na oblohe?
heavenly body, celestial body, luminary|nebeské teleso, nebeské teleso, svietidlo
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Aké slová odkazujú na svetlá, ktorá sa objavujú v severnej (alebo južný) nebo?
aurora borealis, northern lights|Aurora Borealis, polárna žiara
(9) What words refer to something being in the sky?|(9) Aké slová odkazujú na niečo, čo je v nebi?
aloft, up in the sky, up in the air,|vo vzduchu, a to až na oblohe, vo vzduchu,
Sun|Slnka
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Použite túto doménu pre slov týkajúcich sa slnku. Slnka robí tri základné veci. To sa pohybuje, to dáva svetlo, a to dáva teplo. Tieto tri kroky sú zapojené do významov väčšina slov v tejto oblasti. Vzhľadom k tomu, slnko sa pohybuje pod obzorom, veľa slov sa odkazovať na to nastavenie alebo stúpajúca. Vzhľadom k tomu, slnko nad mrakmi, veľa slov sa odkazovať na to sťahovanie za mraky a mraky blokuje jeho svetlo. Slnečné svetlo a teplo tiež vyvolať sekundárne účinky. Slnko spôsobuje rastliny rastú, a dochádza k poškodeniu vecí.
(1) What words refer to the sun?|(1) Aké slová odkazujú na slnku?
sun, solar, sol, daystar, our star|Slnko, slnečné, sol, Daystar, naša hviezda
