Universe, creation|Universe, creatie
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Gebruik dit domein voor algemene woorden die verwijzen naar het fysieke universum. Sommige talen kunnen niet één woord voor het universum en kan hebben om een ​​zin als &#39;regen, bodem, en dingen van de hemel&#39; of &#39;lucht, land en water&#39; of een beschrijvende woorden zoals &quot;alles wat je kunt gebruiken zien &#39;of&#39; alles wat bestaat &#39;.
(1) What words refer to everything we can see?|(1) Welke woorden verwijzen naar alles wat we kunnen zien?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|heelal, creatie, kosmos, hemel en aarde, macrokosmos, alles wat bestaat
Sky|Hemel
Use this domain for words related to the sky.|Gebruik dit domein voor woorden in verband met de lucht.
(1) What words are used to refer to the sky?|(1) welke woorden worden gebruikt om naar de lucht?
sky, firmament, canopy, vault|hemel, firmament, luifel, kluis
(2) What words refer to the air around the earth?|(2) Welke woorden verwijzen naar de lucht rond de aarde?
air, atmosphere, airspace, stratosphere, ozone layer|lucht, sfeer, het luchtruim, stratosfeer ozonlaag
(3) What words are used to refer to the place or area beyond the sky?|(3) Welke woorden worden gebruikt om naar de plaats of gebied buiten de lucht?
heaven, space, outer space, ether, void, solar system|hemel, ruimte, kosmische ruimte, ether, leegte, zonnestelsel
(4) What words describe something in the sky or something that happens in the sky?|(4) Welke woorden iets in de lucht of iets dat gebeurt aan de hemel beschrijven?
aerial, heavenly, atmospheric, stratospheric, celestial,|antenne, hemels, atmosferisch, stratosferische hemel,
(5) What words describe the appearance of the sky?|(5) Welke woorden beschrijven het uiterlijk van de hemel?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|blauw, helder, zwart (nacht), bewolkt, wolk gevuld, briljant, donker, nacht hemel, voorgevoel, stormachtig, donker, sterren bezaaide
(6) What words refer to the edge of the sky where it meets the ground?|(6) Welke woorden verwijzen naar de rand van de hemel waar het voldoet aan de grond?
horizon, skyline|horizon, skyline
(7) What words refer to something in the sky?|(7) Welke woorden verwijzen naar iets in de lucht?
heavenly body, celestial body, luminary|hemellichaam, hemellichaam, luminary
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Welke woorden verwijzen naar de lichten die in de noordelijke (of zuidelijke) hemel verschijnen?
aurora borealis, northern lights|aurora borealis, noordelijke lichten
(9) What words refer to something being in the sky?|(9) Welke woorden verwijzen naar iets dat in de hemel?
aloft, up in the sky, up in the air,|omhoog, in de lucht, in de lucht,
Sun|Zon
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Gebruik dit domein voor woorden in verband met de zon. De zon doet drie fundamentele dingen. Het beweegt, het licht geeft, en het geeft warmte. Deze drie acties zijn betrokken bij de betekenis van de meeste woorden op dit gebied. Omdat de zon beweegt onder de horizon, veel woorden verwijzen naar het instellen of stijgende. Omdat de zon boven de wolken, veel woorden verwijzen naar het verplaatsen van achter de wolken en de wolken zijn licht blokkeren. Licht en warmte van de zon produceren ook secundaire effecten. De zon zorgt planten groeien, en schade aan voorwerpen veroorzaakt.
(1) What words refer to the sun?|(1) Welke woorden verwijzen naar de zon?
sun, solar, sol, daystar, our star|zon, zonne, sol, daystar, onze ster
