Universe, creation|Izao Rehetra Izao, zavaboary
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Ampiasao ity sehatra ho an&#39;ny teny ankapobeny manondro ny rehetra izao. Fiteny sasany, dia mety tsy manana teny tokana ho an&#39;ny rehetra izao ary mety tsy maintsy mampiasa ny andian-teny toy ny &#39;orana, tany, ary ny zavatry ny lanitra &quot;na ny&#39; lanitra, ny tany, ary ny rano&quot;, na ny famaritana andian-teny toy ny &#39;izay rehetra azonao atao jereo &#39;, na&#39; ny zava-drehetra izay misy &#39;.
(1) What words refer to everything we can see?|(1) Inona no teny miresaka momba ny zava-drehetra hitantsika?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|izao rehetra izao, ny zavaboary, tontolo izao voarindra, ny lanitra sy ny tany, macrocosm, ny zavatra rehetra izay misy
Sky|Sky
Use this domain for words related to the sky.|Ampiasao ity sehatra ny teny mifandray amin&#39;ny lanitra.
(1) What words are used to refer to the sky?|(1) Inona no teny no ampiasaina mba hilazana ny lanitra?
sky, firmament, canopy, vault|lanitra, habakabaka, tafo, andohalambo
(2) What words refer to the air around the earth?|(2) Inona no teny manondro ny rivotra manodidina ny tany?
air, atmosphere, airspace, stratosphere, ozone layer|rivotra, rivotra iainana, airspace, stratosphere, Ozone sosona
(3) What words are used to refer to the place or area beyond the sky?|(3) Inona no teny no ampiasaina mba hilazana amin&#39;ny toerana na faritra mihoatra noho ny lanitra?
heaven, space, outer space, ether, void, solar system|any an-danitra, toerana, toerana ivelany, Etera, foana, rafi-masoandro
(4) What words describe something in the sky or something that happens in the sky?|(4) Inona no teny mamaritra zavatra eny amin&#39;ny lanitra na ny zavatra izay mitranga ao an-danitra?
aerial, heavenly, atmospheric, stratospheric, celestial,|fiaramanidina, any an-danitra, atmosfera, stratospheric, selestialy,
(5) What words describe the appearance of the sky?|(5) Inona no teny hilazana ny fijery ny lanitra?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|manga, mazava, mainty (alina), rahona, rahona feno, mamiratra, maizina, alina lanitra, velon-tebiteby, tafio, maizina, kintana studded
(6) What words refer to the edge of the sky where it meets the ground?|(6) Inona no teny miresaka momba ny lelan-danitra izay dia mihaona ny tany?
horizon, skyline|paravodilanitra, faravodilanitra
(7) What words refer to something in the sky?|(7) Inona no teny milaza zavatra eny amin&#39;ny lanitra?
heavenly body, celestial body, luminary|tena any an-danitra, vatana selestialy, fanazavana
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Inona no teny milaza ny jiro izay hita ao amin&#39;ny avaratra (na atsimon&#39;i) lanitra?
aurora borealis, northern lights|hazavana avy any avaratra, any avaratra jiro
(9) What words refer to something being in the sky?|(9) Inona no teny miresaka ny zavatra ho eny amin&#39;ny lanitra?
aloft, up in the sky, up in the air,|fiaran&#39;Andriamanitra, ao an-danitra, ao amin&#39;ny rivotra,
Sun|Sun
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Ampiasao ity sehatra ny teny mifandray amin&#39;ny masoandro. Ny masoandro no zavatra fototra telo. Izy io no mahatonga, dia manome fahazavana, ary manome hafanana. Ireo asa telo ireo tafiditra amin&#39;ny dikany ny ankamaroan&#39;ny teny sehatra ity. Koa satria ambany ny masoandro mihetsiketsika ny faravodilanitra, teny maro miresaka ny azy ny fametrahana na miakatra. Koa satria ny masoandro dia ambonin&#39;ny rahona, teny maro miresaka ny azy mampihetsi-po ao ambadiky ny rahona sy ny rahona ny hazavana fanakànana. Ny masoandro sy ny hafanana ny hazavana faharoa ihany koa ny mamoaka vokatra. Ny masoandro miteraka zavamaniry hitombo, ary mahatonga ny zavatra simba.
(1) What words refer to the sun?|(1) Inona no teny milaza ny masoandro?
sun, solar, sol, daystar, our star|masoandro, masoandro, Sol, kintana fitarikandro, ny kintana
