Universe, creation|Universe, la creazione di
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Utilizzare questo dominio a parole generali riferiti all&#39;universo fisico. Alcune lingue non possono avere una sola parola per l&#39;universo e possono usare una frase del tipo &#39;la pioggia, il suolo, e cose del cielo &quot;o&quot; cielo, la terra, l&#39;acqua e&#39; o una frase descrittiva come &#39;tutto il possibile vedere &#39;o&#39; tutto ciò che esiste &#39;.
(1) What words refer to everything we can see?|(1) Cosa parole si riferiscono a tutto ciò che possiamo vedere?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|universo, la creazione, il cosmo, il cielo e la terra, il macrocosmo, tutto ciò che esiste
Sky|Cielo
Use this domain for words related to the sky.|Utilizzare questo dominio a parole connesse con il cielo.
(1) What words are used to refer to the sky?|(1) Quali parole sono usate per indicare il cielo?
sky, firmament, canopy, vault|cielo, firmamento, baldacchino, volta
(2) What words refer to the air around the earth?|(2) Quali parole si riferiscono a l&#39;aria intorno alla Terra?
air, atmosphere, airspace, stratosphere, ozone layer|aria, atmosfera, lo spazio aereo, stratosfera, strato di ozono
(3) What words are used to refer to the place or area beyond the sky?|(3) Quali parole sono usate per indicare il luogo o la zona al di là del cielo?
heaven, space, outer space, ether, void, solar system|cielo, spazio, spazio esterno, etere, privo di sistema, solare
(4) What words describe something in the sky or something that happens in the sky?|(4) Quali parole descrivono qualcosa nel cielo o qualcosa che accade nel cielo?
aerial, heavenly, atmospheric, stratospheric, celestial,|aerea, celeste, atmosferica, stratosferico, celeste,
(5) What words describe the appearance of the sky?|(5) Quali parole descrivono l&#39;aspetto del cielo?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|blu, chiaro, nero (notturno), nuvoloso, nuvola riempito, brillante, scuro, cielo notturno, presentimento, tempestoso, scuro, stellato
(6) What words refer to the edge of the sky where it meets the ground?|(6) Quali parole si riferiscono al bordo del cielo dove incontra la terra?
horizon, skyline|orizzonte, orizzonte
(7) What words refer to something in the sky?|(7) Quali parole si riferiscono a qualcosa nel cielo?
heavenly body, celestial body, luminary|corpo celeste, corpo celeste, luminare
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Quali parole si riferiscono alle luci che appaiono nel nord (o sud) cielo?
aurora borealis, northern lights|aurora boreale, aurora boreale
(9) What words refer to something being in the sky?|(9) Quali parole si riferiscono a qualcosa che è nel cielo?
aloft, up in the sky, up in the air,|in alto, nel cielo, in aria,
Sun|Sole
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Utilizzare questo dominio a parole al sole. Il sole fa tre cose fondamentali. Si muove, dà luce e dà calore. Queste tre azioni sono coinvolti nei significati della maggior parte delle parole in questo dominio. Dal momento che il sole si sposta sotto l&#39;orizzonte, molte parole si riferiscono ad esso impostazione o in aumento. Dal momento che il sole è sopra le nuvole, molte parole si riferiscono ad esso si muove dietro le nuvole e le nuvole che bloccano la sua luce. La luce del sole e di calore, inoltre, produrre effetti secondari. Il sole fa sì che le piante a crescere, e che provoca danni a cose.
(1) What words refer to the sun?|(1) Quali parole si riferiscono al sole?
sun, solar, sol, daystar, our star|sole, solare, sol, Daystar, la nostra stella
