Universe, creation|Всесвіт, створення
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Використовуйте цей домен для загальних слів, що відносяться до фізичної всесвіту. Деякі мови можуть не мати жодного слова для Всесвіту і, можливо, доведеться використовувати фразу, такі як &quot;дощ, грунту і речей на небі» або «небо, земля і вода» або описового вираження, такі як «все, що можна см &#39;або&#39; все, що існує ».
(1) What words refer to everything we can see?|(1) Які слова відносяться до все, що ми можемо бачити?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|Всесвіт, створення, космос, небо і земля, макросвіт, все, що існує
Sky|Небо
Use this domain for words related to the sky.|Використовуйте цей домен для слів, пов&#39;язаних з неба.
(1) What words are used to refer to the sky?|(1) Які слова використовуються для позначення в небо?
sky, firmament, canopy, vault|небо, небосхил, купол, звід
(2) What words refer to the air around the earth?|(2) Те, що слова належать до повітря навколо Землі?
air, atmosphere, airspace, stratosphere, ozone layer|повітря, атмосфера, повітряний простір, стратосфера, озоновий шар
(3) What words are used to refer to the place or area beyond the sky?|(3) Які слова використовуються для позначення місця або зони за межами неба?
heaven, space, outer space, ether, void, solar system|небо, космос, космос, ефір, порожнеча, Сонячна система
(4) What words describe something in the sky or something that happens in the sky?|(4) Які слова описують щось у небі або щось, що відбувається в небі?
aerial, heavenly, atmospheric, stratospheric, celestial,|антена, небесний, атмосферний стратосферного, небесне,
(5) What words describe the appearance of the sky?|(5) Які слова описують зовнішній вигляд неба?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|синій, прозорий, чорний (ніч), хмарно, хмара наповнила, блискучі, темно, ніч небо, передчуття, бурхлива, темна, зоряного
(6) What words refer to the edge of the sky where it meets the ground?|(6) Які слова відносяться до краю неба, де його зустрічає землю?
horizon, skyline|горизонт, горизонт
(7) What words refer to something in the sky?|(7) Які слова відносяться до чогось в небі?
heavenly body, celestial body, luminary|небесне тіло, небесне тіло, світило
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Які слова відносяться до вогнів, які з&#39;являються в північній (або південної) небо?
aurora borealis, northern lights|Aurora Borealis, північне сяйво
(9) What words refer to something being in the sky?|(9) Які слова відносяться до чогось, перебуваючи в небі?
aloft, up in the sky, up in the air,|вгору, в небо, в повітрі,
Sun|Сонце
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Використовуйте цей домен для слів, пов&#39;язаних з сонцем. Сонце робить три основні речі. Вона рухається, це дає світло, і це дає тепло. Ці три дії беруть участь у значеннях більшість слів у цій галузі. Так сонце рухається нижче лінії горизонту, багато слів ставляться до нього установки або зростає. Так сонце над хмарами, багато слів ставляться до нього рухається за хмарами і хмарами, блокуючих його світло. Сонячне світло і тепло також вторинні ефекти. Сонце викликає рослини рости, і це призводить до пошкодження речей.
(1) What words refer to the sun?|(1) Які слова відносяться до сонця?
sun, solar, sol, daystar, our star|сонце, сонячний, сіль, денне світило, наша зірка
