Universe, creation|Universe, nggawe
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Gunakake domain iki kanggo tembung umum referring kanggo Universe fisik. Sawetara basa uga ora duwe tembung siji kanggo Semesta lan uga kudu nggunakake tembung kayata &#39;udan, lemah, lan bab-bab langit&#39; utawa &#39;langit, tanah, lan banyu&#39; utawa frasa deskriptif kayata &#39;kabeh sampeyan bisa ndeleng &#39;utawa&#39; kabeh sing ana &#39;.
(1) What words refer to everything we can see?|(1) tembung Apa deleng kabeh kita bisa ndeleng?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|Semesta, nggawe, cosmos, langit lan bumi, besar, kabeh sing ana
Sky|Langit
Use this domain for words related to the sky.|Gunakake domain iki kanggo tembung related kanggo langit.
(1) What words are used to refer to the sky?|(1) tembung Apa sing digunakake kanggo deleng langit?
sky, firmament, canopy, vault|langit, ambara, canopy, Wikipedia
(2) What words refer to the air around the earth?|(2) tembung Apa waca online ngubengi bumi?
air, atmosphere, airspace, stratosphere, ozone layer|online, atmosfer, udara, stratosphere, lapisan ozon
(3) What words are used to refer to the place or area beyond the sky?|(3) words Apa sing dipigunakaké kanggo nyebut panggonan utawa wilayah ngluwihi langit?
heaven, space, outer space, ether, void, solar system|swarga, papan, papan njaba, ether, roso sepi, sistem tata surya
(4) What words describe something in the sky or something that happens in the sky?|(4) words Apa njlèntrèhaké soko ing langit utawa soko sing mengkono ing langit?
aerial, heavenly, atmospheric, stratospheric, celestial,|pangeboman, swarga, atmosfer, stratospheric, benda,
(5) What words describe the appearance of the sky?|(5) words Apa njlèntrèhaké tampilan langit?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|biru, langit, ireng (wengi), mendhung, maya nepsu, sarwa, peteng, langit wengi, foreboding, geger, peteng, star studded
(6) What words refer to the edge of the sky where it meets the ground?|(6) words Apa waca pojok langit ngendi iku meets lemah?
horizon, skyline|wonten, skyline
(7) What words refer to something in the sky?|(7) words Apa deleng soko ing langit?
heavenly body, celestial body, luminary|awak swarga, awak benda, luminary
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) words Apa deleng lampu sing katon ing sisih lor (utawa kidul) langit?
aurora borealis, northern lights|aurora borealis, lampu lor
(9) What words refer to something being in the sky?|(9) words Apa deleng soko kang ing langit?
aloft, up in the sky, up in the air,|aloft, munggah ing langit, munggah ing udhara,
Sun|Sun
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Gunakake domain iki kanggo tembung related kanggo srengenge. Srengenge ora telu iku dhasar. Gerakane, iku madhangi, lan menehi panas. Iki telung tumindak sing melu ing makna paling saka tembung domain iki. Wiwit srengenge gerakane ngisor ingkang wonten, akeh tembung deleng setelan utawa Rising. Wiwit srengenge iku sadhuwure mega, akeh tembung waca iku obah konco mega lan mendhung Watesan sawijining cahya. Cahya srengenge lan panas uga gawé efek secondary. Sun nimbulaké tetanduran kanggo tuwuh, lan nimbulaké karusakan kanggo iku.
(1) What words refer to the sun?|(1) tembung Apa deleng srengenge?
sun, solar, sol, daystar, our star|srengenge, solar, sol, daystar, star kita
