Universe, creation|विश्वाची, निर्मिती
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|भौतिक विश्वाच्या संदर्भ सामान्य शब्द हे डोमेन वापरा. काही भाषा विश्वाचा एक एकच शब्द असू शकत नाही आणि अशा आपण हे करू शकता &#39;सर्वकाही म्हणून&#39; पाऊस, माती, आणि आकाशातील गोष्टी &#39;किंवा&#39; आकाश, जमीन, आणि पाणी &#39;किंवा वर्णनात्मक वाक्यांश एक वाक्यांश वापर लागेल अस्तित्वात आहे &#39;किंवा&#39; प्रत्येक गोष्ट &#39;पहा.
(1) What words refer to everything we can see?|(1) आम्ही सर्व काय शब्द पहा पाहू शकतो का?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|अस्तित्वात विश्वाच्या, निर्मिती, दुनिया, आकाश, पृथ्वी, अफाट विश्व, सर्वकाही
Sky|स्काय
Use this domain for words related to the sky.|आकाश संबंधित शब्द हे डोमेन वापरा.
(1) What words are used to refer to the sky?|(1) काय शब्द आकाश संदर्भ करण्यासाठी वापरले जातात?
sky, firmament, canopy, vault|आकाश, अंतराळ, छत, घर
(2) What words refer to the air around the earth?|(2) काय शब्द पृथ्वीवर सुमारे हवा पहा?
air, atmosphere, airspace, stratosphere, ozone layer|हवा, वातावरण, एअरस्पेस, स्ट्रॅटोस्फिअरमध्ये, ओझोन थर
(3) What words are used to refer to the place or area beyond the sky?|(3) काय शब्द आकाश पलीकडे ठिकाणी किंवा क्षेत्र संदर्भ करण्यासाठी वापरले जातात?
heaven, space, outer space, ether, void, solar system|स्वर्गात, जागा, बाह्य जागा, अंतरिक्ष, रद्द, सौर यंत्रणा
(4) What words describe something in the sky or something that happens in the sky?|(4) काय शब्द आकाशात घडते की आकाश किंवा काहीतरी काहीतरी वर्णन करतात?
aerial, heavenly, atmospheric, stratospheric, celestial,|, आकाशाचे, हवाई स्वर्गीय, वातावरणातील, stratospheric
(5) What words describe the appearance of the sky?|(5) काय शब्द आकाशातील स्वरूप वर्णन करतात?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|निळा, स्पष्ट, काळा (रात्री), ढगाळ, मेघ भरले, तल्लख बुद्धीच्या, गडद, ​​रात्री आकाश, शकुन, वादळी, गडद, ​​स्टार लगावला
(6) What words refer to the edge of the sky where it meets the ground?|(6) काय शब्द ग्राउंड पूर्ण जेथे आकाश धार पहा?
horizon, skyline|क्षितीज, क्षितीज
(7) What words refer to something in the sky?|(7) काय शब्द आकाशात काहीतरी पहा?
heavenly body, celestial body, luminary|स्वर्गीय शरीर, खगोलीय, सूर्य
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) काय शब्द उत्तर (किंवा दक्षिण) आकाशात दिसेल हे दिवे पहा?
aurora borealis, northern lights|अरोरा borealis, उत्तर दिवे
(9) What words refer to something being in the sky?|(9) काय शब्द आकाशात जात काहीतरी पहा?
aloft, up in the sky, up in the air,|उंच, अप आकाशात, हवेत अप,
Sun|सूर्य
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|सूर्य संबंधित शब्द हे डोमेन वापरा. सूर्य तीन मूलभूत गोष्टी करतो. तो प्रकाश देतो, हलवेल, आणि तो उष्णता देते. या तीन क्रिया या डोमेन शब्द सर्वात अर्थ गुंतलेली आहेत. क्षितीज खाली सूर्य आणले असल्याने, अनेक शब्द तो सेट किंवा पावसाची पहा. सूर्य ढग वरील असल्याने, अनेक शब्द ढग आणि त्याचे प्रकाश अवरोधित ढगांच्या मागे हलवून ते पहा. सूर्य प्रकाश आणि उष्णता तसेच माध्यमिक प्रभाव निर्मिती. सूर्य वनस्पती वाढू प्रवृत्त करतो आणि गोष्टी नुकसान होतो.
(1) What words refer to the sun?|(1) काय शब्द सूर्य पहा?
sun, solar, sol, daystar, our star|सूर्य, सौर, Sol, daystar, आमच्या स्टार
