Universe, creation|Universe, tvorba
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Použijte tuto doménu pro obecných slov s odkazem na fyzickém vesmíru. Některé jazyky nemusí mít jediné slovo pro vesmír a může mít použít frázi jako &quot;déšť, půda a věci na nebi&quot; nebo &quot;nebe, zemi, a voda&quot; nebo popisné fráze jako &quot;vše, co můžete viz &quot;nebo&quot; vše, co existuje &quot;.
(1) What words refer to everything we can see?|(1) Jaká slova odkazují na vše, co můžeme vidět?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|vesmír, tvorba, kosmos, nebe a země, makrokosmos, vše, co existuje
Sky|Obloha
Use this domain for words related to the sky.|Použijte tuto doménu pro slov týkajících se obloze.
(1) What words are used to refer to the sky?|(1) Jaká slova jsou používány odkazovat se na obloze?
sky, firmament, canopy, vault|nebe, obloha, baldachýn, klenba
(2) What words refer to the air around the earth?|(2) Co slova se vztahují na vzduchu kolem Země?
air, atmosphere, airspace, stratosphere, ozone layer|vzdušného, ​​atmosféru, vzdušný prostor, stratosféra, ozonové vrstvy
(3) What words are used to refer to the place or area beyond the sky?|(3) Jaká slova jsou používány se odkazovat na místo nebo oblast mimo nebe?
heaven, space, outer space, ether, void, solar system|nebe, prostor, vesmír, éter, void, sluneční soustava
(4) What words describe something in the sky or something that happens in the sky?|(4) Jaká slova popsat něco na obloze, nebo něco, co se děje na obloze?
aerial, heavenly, atmospheric, stratospheric, celestial,|anténa, nebeský, atmosférický, stratosféře, nebeská,
(5) What words describe the appearance of the sky?|(5) Co slova popisují vzhled nebe?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|modři, čirý, černý (noční), oblačno, oblak naplnil, brilantní, temné, noční obloha, předtucha, bouřlivý, tmavý, hvězda hustě
(6) What words refer to the edge of the sky where it meets the ground?|(6) Jaká slova odkazují na okraji oblohy, kde se setkává na zem?
horizon, skyline|horizont, panorama
(7) What words refer to something in the sky?|(7) Jaká slova odkazují na něco, co na obloze?
heavenly body, celestial body, luminary|nebeské těleso, nebeské těleso, svítidlo
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Jaká slova odkazují na světla, která se objevují v severní (nebo jižní) nebe?
aurora borealis, northern lights|Aurora Borealis, polární záře
(9) What words refer to something being in the sky?|(9) Jaká slova odkazují na něco, co je v nebi?
aloft, up in the sky, up in the air,|ve vzduchu, a to až na obloze, ve vzduchu,
Sun|Slunce
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Použijte tuto doménu pro slov týkajících se slunci. Slunce dělá tři základní věci. To se pohybuje, to dává světlo, a to dává teplo. Tyto tři kroky jsou zapojeny do významů většina slov v této oblasti. Vzhledem k tomu, slunce se pohybuje pod obzorem, mnoho slov se odkazovat na to nastavení nebo stoupající. Vzhledem k tomu, slunce nad mraky, mnoho slov se odkazovat na to stěhování za mraky a mraky blokuje jeho světlo. Sluneční světlo a teplo také vyvolat sekundární účinky. Slunce způsobuje rostliny rostou, a dochází k poškození věcí.
(1) What words refer to the sun?|(1) Jaká slova odkazují na slunci?
sun, solar, sol, daystar, our star|Slunce, sluneční, sol, Daystar, naše hvězda
