Universe, creation|ब्रह्माण्ड सृष्टि
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|शारीरिक ब्रह्माण्ड बताइरहेका सामान्य शब्द लागि यस डोमेन प्रयोग गर्नुहोस्। केही भाषाहरू ब्रह्माण्ड लागि एक शब्द नहुन सक्छ र यस्तो यस्तो सक्नुहुन्छ &#39;सबै रूप&#39; वर्षा, माटो, र आकाश को कुराहरू &#39;वा&#39; आकाश, भूमि, र पानी &#39;वा वर्णनात्मक वाक्यांश रूपमा एक वाक्यांश प्रयोग गर्न सक्छ अवस्थित कि &#39;वा&#39; सबै &#39;हेर्नुहोस्।
(1) What words refer to everything we can see?|(1) हामी सबै के शब्दहरू उल्लेख देख्न सक्छौं?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|अवस्थित कि ब्रह्माण्ड सृष्टि, ब्रह्माण्ड, स्वर्ग र पृथ्वी, macrocosm, सबै
Sky|स्काई
Use this domain for words related to the sky.|आकाश सम्बन्धित शब्दहरू लागि यस डोमेन प्रयोग गर्नुहोस्।
(1) What words are used to refer to the sky?|(1) के यी शब्दहरू आकाश उल्लेख गर्न प्रयोग गरिन्छ?
sky, firmament, canopy, vault|आकाश, आकाश, canopy, ब्याड़कमा बहुमूल्य वस्तु
(2) What words refer to the air around the earth?|(2) के शब्दहरूले पृथ्वीमा वरिपरि हावा उल्लेख?
air, atmosphere, airspace, stratosphere, ozone layer|हावा, वातावरण, airspace, stratosphere, ओजोन तह
(3) What words are used to refer to the place or area beyond the sky?|(3) के शब्दहरू आकाश परे ठाँउ वा क्षेत्र उल्लेख गर्न प्रयोग गरिन्छ?
heaven, space, outer space, ether, void, solar system|स्वर्ग, अन्तरिक्ष, बाहिरी अन्तरिक्ष, ईथर, शून्य, सौर सिस्टम
(4) What words describe something in the sky or something that happens in the sky?|(4) के शब्दहरू आकाश मा हुन्छ कि आकाश वा केहि मा केहि वर्णन?
aerial, heavenly, atmospheric, stratospheric, celestial,|, आकाशीय, हवाई स्वर्गीय, वायुमण्डलीय, stratospheric
(5) What words describe the appearance of the sky?|(5) के शब्दहरू आकाश को उपस्थिति वर्णन?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|नीलो, स्पष्ट, काले (रात), बादल, बादल भरिएको शानदार, अँध्यारो, रात आकाश, foreboding, आँधी, अँध्यारो, सितारा studded
(6) What words refer to the edge of the sky where it meets the ground?|(6) के शब्दहरूले जमीन यो भेट्छन् कहाँ आकाश को बढत उल्लेख?
horizon, skyline|क्षितिज, क्षितिज
(7) What words refer to something in the sky?|(7) के शब्दहरू आकाश मा केहि उल्लेख?
heavenly body, celestial body, luminary|स्वर्गीय शरीर, आकाशीय शरीर, Luminary
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) के शब्दहरू उत्तरी (वा दक्षिणी) आकाश देखा रोशनी उल्लेख?
aurora borealis, northern lights|Aurora बोरेलिस, उत्तरी रोशनी
(9) What words refer to something being in the sky?|(9) के शब्दहरू आकाश मा हुनुको कुरा उल्लेख?
aloft, up in the sky, up in the air,|aloft, आकाश मा, हावा मा माथि,
Sun|सूर्य
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|सूर्य सम्बन्धित शब्दहरू लागि यस डोमेन प्रयोग गर्नुहोस्। सूर्य तीन आधारभूत कुराहरू गर्छ। यो प्रकाश दिन्छ, उत्प्रेरित गर्छ, र यो गर्मी दिन्छ। यी तीन कार्यहरू यस डोमेन मा शब्दहरू अधिकांश अर्थ संलग्न छन्। घाम क्षितिज तल उत्प्रेरित गर्छ भएकोले, धेरै शब्दहरू यो सेट या बढ्दो बुझाउँछ। सूर्य बादल माथि छ, धेरै शब्दहरू बादल र यसको प्रकाश अवरोध बादल पछि सार्दा यो बुझाउँछ। सूर्य गरेको प्रकाश र गर्मी पनि माध्यमिक प्रभाव उत्पादन। सूर्य बिरुवाहरु बढ्न गराउनुहुन्छ, र यो कुरा आँच गराउनुहुन्छ।
(1) What words refer to the sun?|(1) के यी शब्दहरू सूर्य उल्लेख?
sun, solar, sol, daystar, our star|सूर्य, सौर, सोल, daystar, हाम्रो सितारा
