Universe, creation|וניווערסע, שאַפונג
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|ניצן דעם פעלד פֿאַר גענעראַל ווערטער רעפעררינג צו די גשמיות אַלוועלט. עטלעכע שפּראַכן מייַ ניט האָבן אַ איין וואָרט פֿאַר די אַלוועלט און מייַ האָבן צו נוצן אַ פראַזע אַזאַ ווי &#39;רעגן, באָדן, און זאכן פון די הימל&#39; אָדער &#39;הימל, ערד, און וואַסער&#39; אָדער אַ דיסקריפּטיוו פֿראַזע אַזאַ ווי &#39;אַלץ איר קענען זען &#39;אָדער&#39; אַלץ אַז יגזיס &#39;.
(1) What words refer to everything we can see?|(1) וואָס ווערטער אָפּשיקן צו אַלץ מיר קענען זען?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|אַלוועלט, שאַפונג, קאָסמאָס, הימל און ערד, מאַקראָקאָסם, אַלץ אַז יגזיס
Sky|הימל
Use this domain for words related to the sky.|ניצן דעם פעלד פֿאַר ווערטער Related צו די הימל.
(1) What words are used to refer to the sky?|(1) וואָס ווערטער זענען געניצט צו אָפּשיקן צו די הימל?
sky, firmament, canopy, vault|הימל, פירמאַמענט, כופּע, וואָלט
(2) What words refer to the air around the earth?|(2) וואס ווערטער אָפּשיקן צו די לופט אַרום די ערד?
air, atmosphere, airspace, stratosphere, ozone layer|לופט, אַטמאָספער, ערספּייס, סטראַטאָספערע, אָזאָנע שיכטע
(3) What words are used to refer to the place or area beyond the sky?|(3) וואָס ווערטער זענען געניצט צו אָפּשיקן צו די פּלאַץ אָדער געגנט אויסער די הימל?
heaven, space, outer space, ether, void, solar system|הימל, פּלאַץ, ויסווייניקסט פּלאַץ, יטער, פּאָסל, זונ סיסטעם
(4) What words describe something in the sky or something that happens in the sky?|(4) וואָס ווערטער באַשרייַבן עפּעס אין די הימל אָדער עפּעס אַז כאַפּאַנז אין די הימל?
aerial, heavenly, atmospheric, stratospheric, celestial,|לופט, הימלישע, אַטמאָספעריק, סטראַטאָספעריק, סאַלעסטשאַל,
(5) What words describe the appearance of the sky?|(5) וואָס ווערטער באַשרייַבן די אויסזען פון די הימל?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|בלוי, קלאָר, שוואַרץ (נאַכט), פאַרוואָלקנט, וואָלקן אָנגעפילט, בריליאַנט, פינצטער, נאַכט הימל, פאָרעבאָדינג, שטורעמדיקן, פינצטער, שטערן סטאַדיד
(6) What words refer to the edge of the sky where it meets the ground?|(6) וואָס ווערטער אָפּשיקן צו די ברעג פון די הימל ווו עס מיץ די ערד?
horizon, skyline|האָריזאָנט, סקייליין
(7) What words refer to something in the sky?|(7) וואס ווערטער אָפּשיקן צו עפּעס אין די הימל?
heavenly body, celestial body, luminary|הימלישע גוף, סאַלעסטשאַל גוף, לומאַנערי
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) וואס ווערטער אָפּשיקן צו די לייץ אַז דערשייַנען אין די צאָפנדיק (אָדער דאָרעמדיק) הימל?
aurora borealis, northern lights|אַוראָראַ באָרעאַליס, צאָפנדיק לייץ
(9) What words refer to something being in the sky?|(9) וואָס ווערטער אָפּשיקן צו עפּעס ווייל אין דער הימל?
aloft, up in the sky, up in the air,|אַראָפּ, אַרויף אין דער הימל, אַרויף אין די לופט,
Sun|זון
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|ניצן דעם פעלד פֿאַר ווערטער Related צו די זונטאג די זון טוט דרייַ יקערדיק זאכן. עס באוועגט, עס גיט ליכט, און עס גיט היץ. דאס דרייַ אַקשאַנז זענען ינוואַלווד אין די מינינגז פון רובֿ פון די ווערטער אין דעם פעלד. זינט די זון באוועגט ונטער דער האָריזאָנט, פילע ווערטער אָפּשיקן צו עס באַשטעטיקן אָדער רייזינג. זינט די זון איז העכער די וואלקנס, פילע ווערטער אָפּשיקן צו עס מאָווינג הינטער די וואלקנס און די וואלקנס בלאַקינג זייַן ליכט. די זון ס ליכט און היץ אויך פּראָדוצירן צווייטיק עפפעקץ. די זון ז געוויקסן צו וואַקסן, און עס ז שעדיקן צו זאכן.
(1) What words refer to the sun?|(1) וואָס ווערטער אָפּשיקן צו די זון?
sun, solar, sol, daystar, our star|זון, זונ, סאָל, דייַסטאַר, אונדזער שטערן
