Universe, creation|Universe, ստեղծում
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Օգտագործեք այս տիրույթը ընդհանուր խոսքերի վերաբերող ֆիզիկական տիեզերքի. Որոշ լեզուներին` չի կարող ունենալ մեկ բառը տիեզերքի եւ կարող է օգտագործել արտահայտություն, ինչպիսիք են «անձրեւ, հողում, եւ բաներ, որ երկնքում» կամ «երկնքի հողի եւ ջրի» կամ նկարագրական արտահայտության, ինչպիսիք են, «ամեն ինչ դուք կարող եք տես, »կամ« ամեն ինչ, որ գոյություն ունի »:
(1) What words refer to everything we can see?|(1) Ինչ խոսքերը վերաբերում են այն ամենը, ինչ մենք կարող ենք տեսնել.
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|տիեզերքի, ստեղծումը, տիեզերք, երկինքն ու երկիրը, Macrocosm, ամեն ինչ, որ գոյություն ունի
Sky|Երկինք
Use this domain for words related to the sky.|Օգտագործեք այս տիրույթը բառերի հետ կապված երկնքում.
(1) What words are used to refer to the sky?|(1) Ինչ բառերը օգտագործվում են վերաբերում է երկնքում.
sky, firmament, canopy, vault|երկինք, երկնակամար, հովանոց, մառան
(2) What words refer to the air around the earth?|(2) Ինչ խոսքերը վերաբերում են օդում շուրջ երկրի վրա.
air, atmosphere, airspace, stratosphere, ozone layer|օդը, մթնոլորտը, օդային տարածությունը, ստրատոսֆերա, օզոնային շերտը
(3) What words are used to refer to the place or area beyond the sky?|(3) Ինչ բառերը օգտագործվում են վերաբերում այն ​​տեղը կամ տարածքի դուրս երկնքում.
heaven, space, outer space, ether, void, solar system|երկինքը, տարածք, արտաքին տարածք, Եթեր, առոչինչ, արեւային համակարգ
(4) What words describe something in the sky or something that happens in the sky?|(4) Ինչ խոսքեր է նկարագրել ինչ-որ բան է երկնքում, կամ մի բան, որ տեղի է ունենում երկնքում.
aerial, heavenly, atmospheric, stratospheric, celestial,|օդային, երկնային, մթնոլորտային, Stratospheric, երկնային,
(5) What words describe the appearance of the sky?|(5) Ինչ խոսքեր նկարագրել տեսքը երկնքում.
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|կապույտ, պարզ է, սեւ (night), ամպամած, ամպ լցված, փայլուն, մուգ, գիշերային երկինքը, կանխազգացում, փոթորկոտ, մութ, աստղը studded
(6) What words refer to the edge of the sky where it meets the ground?|(6) Ինչ խոսքերը վերաբերում են եզրին է երկնքում, որտեղ այն համապատասխանում է գետնին.
horizon, skyline|հորիզոն, Skyline
(7) What words refer to something in the sky?|(7) Ինչ խոսքերը վերաբերում են ինչ - որ բան, որ երկնքում.
heavenly body, celestial body, luminary|Երկնային մարմինը, երկնային մարմին, luminary
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Ինչ խոսքերը վերաբերում են լույսերը, որոնք հայտնվում են հյուսիսային (կամ հարավային) երկնքում.
aurora borealis, northern lights|Ավրորա Borealis, Հյուսիսային լույսեր
(9) What words refer to something being in the sky?|(9) Ինչ խոսքերը վերաբերում են ինչ - որ բան լինելու է երկնքում.
aloft, up in the sky, up in the air,|դեպի վեր, մինչեւ երկնքում, մինչեւ օդում,
Sun|Արեւ
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Օգտագործեք այս տիրույթը բառերի հետ կապված արեւի. Արեւը անում է երեք հիմնական բաներ. Այն շարժվում է, որ լուսաւորէ, եւ դա հնարավորություն է տալիս շոգին. Այս երեք գործողությունները ներգրավված իմաստների մասը բառերի այս տիրույթում. Քանի որ արեւը շարժվում ներքեւում հորիզոնում, շատ խոսքերը վերաբերում են այն, ընդլայնված կամ բարձրանում. Քանի որ արեւը բարձր ամպերի, շատ բառեր վերաբերում է այն շարժվում ետեւում ամպերի եւ ամպերի արգելափակման իր լույսը: The Sun - ի թեթեւ եւ ջերմային նաեւ արտադրել երկրորդական հետեւանքները. Արեւը առաջացնում բույսեր է աճել, եւ դա առաջացնում է վնաս հասցնել բաներ.
(1) What words refer to the sun?|(1) Ինչ խոսքերը վերաբերում են արեւի.
sun, solar, sol, daystar, our star|արեւը, արեւային, sol, լուսաստղը, մեր աստղը
