Universe, creation|Universe, penciptaan
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Gunakan domain ini untuk kata-kata umum mengacu pada alam semesta fisik. Beberapa bahasa mungkin tidak memiliki satu kata untuk alam semesta dan mungkin harus menggunakan frase seperti &#39;hujan, tanah, dan hal-hal dari langit&#39; atau &#39;sky, tanah, dan air&#39; atau frase deskriptif seperti &#39;apa saja melihat &#39;atau&#39; segala sesuatu yang ada &#39;.
(1) What words refer to everything we can see?|(1) Kata-kata apa merujuk ke segala sesuatu yang kita bisa melihat?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|semesta, penciptaan, kosmos, langit dan bumi, makrokosmos, segala sesuatu yang ada
Sky|Langit
Use this domain for words related to the sky.|Gunakan domain ini untuk kata-kata yang berhubungan dengan langit.
(1) What words are used to refer to the sky?|(1) kata-kata apa yang digunakan untuk merujuk ke langit?
sky, firmament, canopy, vault|langit, cakrawala, kanopi, kubah
(2) What words refer to the air around the earth?|(2) Kata-kata apa mengacu pada udara di sekitar bumi?
air, atmosphere, airspace, stratosphere, ozone layer|udara, atmosfer, udara, stratosfer, lapisan ozon
(3) What words are used to refer to the place or area beyond the sky?|(3) kata-kata apa yang digunakan untuk merujuk pada tempat atau daerah di luar angkasa?
heaven, space, outer space, ether, void, solar system|surga, ruang, angkasa luar, eter, kekosongan, tata surya
(4) What words describe something in the sky or something that happens in the sky?|(4) Kata-kata apa menggambarkan sesuatu di langit atau sesuatu yang terjadi di langit?
aerial, heavenly, atmospheric, stratospheric, celestial,|udara, surgawi, atmosfer, stratosfir, langit,
(5) What words describe the appearance of the sky?|(5) Kata-kata apa menggambarkan penampilan langit?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|biru, jelas, hitam (malam), berawan, awan diisi, brilian, gelap, langit malam, firasat, badai, gelap, bintang bertabur
(6) What words refer to the edge of the sky where it meets the ground?|(6) Kata-kata apa merujuk ke tepi langit mana itu memenuhi tanah?
horizon, skyline|cakrawala, skyline
(7) What words refer to something in the sky?|(7) Kata-kata apa mengacu pada sesuatu di langit?
heavenly body, celestial body, luminary|tubuh surgawi, benda angkasa, termasyhur
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Kata-kata apa mengacu pada lampu yang muncul di bagian utara (atau selatan) langit?
aurora borealis, northern lights|aurora borealis, cahaya utara
(9) What words refer to something being in the sky?|(9) Kata-kata apa mengacu pada sesuatu yang di langit?
aloft, up in the sky, up in the air,|tinggi-tinggi, di langit, di udara,
Sun|Matahari
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Gunakan domain ini untuk kata-kata yang berhubungan dengan matahari. Matahari melakukan tiga hal dasar. Bergerak, memberikan cahaya, dan memberikan panas. Ketiga tindakan yang terlibat dalam arti sebagian besar kata-kata dalam domain ini. Karena matahari bergerak di bawah cakrawala, banyak kata menyebutnya pengaturan atau naik. Karena matahari berada di atas awan, banyak kata menyebutnya bergerak di balik awan dan awan menghalangi cahaya. Cahaya matahari dan panas juga menghasilkan efek sekunder. Matahari menyebabkan tanaman untuk tumbuh, dan hal itu menyebabkan kerusakan pada hal.
(1) What words refer to the sun?|(1) Kata-kata apa mengacu matahari?
sun, solar, sol, daystar, our star|matahari, solar, sol, daystar, bintang kami
