Universe, creation|Unibertsoa, ​​sorkuntza
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Erabili domeinu honetan hitz general unibertso fisikoak aipatuz. Hizkuntza batzuk ez du unibertsoaren hitz bakar bat dute, eta, besteak beste, &#39;euri, lurra, zeruko gauzak&#39; edo &#39;zerua, lurra, eta ura&#39; edo deskriptibo bat, besteak beste, &#39;dena ahal duzun bezala, esaldi bat erabili beharko ikus &#39;edo&#39; dena existitzen dela &#39;.
(1) What words refer to everything we can see?|(1) Zer hitzak guztia aipatzeko ikusi ahal izango dugu?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|unibertsoa, ​​sorkuntza, kosmosa, zerua eta lurra, makrokosmos, dena badela
Sky|Sky
Use this domain for words related to the sky.|Erabili domeinu honetan zerua lotutako hitz egiteko.
(1) What words are used to refer to the sky?|(1) Zer hitz zerua aipatzeko erabiltzen dira?
sky, firmament, canopy, vault|zerua, zeru, Puente, ganga
(2) What words refer to the air around the earth?|(2) Zein hitz Lurraren inguruan airean aipatzeko?
air, atmosphere, airspace, stratosphere, ozone layer|airea, giroa, aireko espazioa, estratosferan ozono geruza
(3) What words are used to refer to the place or area beyond the sky?|(3) Zer hitzak leku edo zerua haratago inguruan aipatzeko erabiltzen dira?
heaven, space, outer space, ether, void, solar system|zeruan, espazioa, espazioan, eter, eguzki-sisteman eragina izan gabe,
(4) What words describe something in the sky or something that happens in the sky?|(4) Zer hitz deskribatzeko zerua edo zerbait zeruan gertatzen den zerbait?
aerial, heavenly, atmospheric, stratospheric, celestial,|airetiko, zeruko, atmosferikoak, estratosferako, zeruko,
(5) What words describe the appearance of the sky?|(5) Zein hitz deskribatzeko zerua itxura?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|urdina, argia, beltza (gaueko), ostarteak, hodei betea, bikaina, ilun, gaueko zerua, susmo, Ekaitz, ilun, star studded
(6) What words refer to the edge of the sky where it meets the ground?|(6) Zein hitz zerua non lurrean betetzen dituela ertzean aipatzeko?
horizon, skyline|horizon, skyline
(7) What words refer to something in the sky?|(7) Zein hitz zerbaiti erreferentzia zeruan?
heavenly body, celestial body, luminary|astroa, zeruko gorputz, izar
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Zer hitz iparraldean (edo hegoaldean) zerua agertzen diren argiak aipatzeko?
aurora borealis, northern lights|Aurora Boreal, iparraldeko argiak
(9) What words refer to something being in the sky?|(9) Zer hitzak zerbait zeruan izateaz erreferentzia?
aloft, up in the sky, up in the air,|at, zerua ere, airean,
Sun|Sun
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Erabili domeinu hau eguzkia erlazionatutako hitz egiteko. Eguzkia oinarrizko hiru gauza. Mugitzen da, argi ematen du, eta bero ematen dio. Hiru ekintza hauek hitz gehienak esanahi alor honetan parte hartzen. Eguzkia zeru azpian mugitzen geroztik, hitz askoren ezarpena edo goranzko aipatzeko. Geroztik eguzkia hodeien gainetik dago, hitz asko da erreferentzia hodeiak eta lainoak bere argia blokeatzen atzean mugitzen. Eguzkiaren argia eta beroa bigarren mailako efektuak ere ekoizten. Eguzkiak eragiten landareak hazten, eta gauzak kalteak eragiten ditu.
(1) What words refer to the sun?|(1) Zer hitz eguzkia aipatzeko?
sun, solar, sol, daystar, our star|eguzkia, eguzki, sol, DAYSTAR, gure izarra
