Universe, creation|U
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Izmantojiet šo domēnu vispārējiem vārdiem, kas attiecas uz fizisko Visumu. Daži valodas nevar būt neviena vārda par Visumu, un var būt nepieciešams izmantot tādas frāzes kā &quot;lietus, augsni, un to, kas ir debesīs&quot; vai &quot;debesis, zemi un ūdeni&quot; vai aprakstošā frāze, piemēram, &quot;Viss, jūs varat skatīt &quot;vai&quot; viss, kas pastāv &quot;.
(1) What words refer to everything we can see?|(1) Kādi vārdi attiecas uz visu, ko mēs varam redzēt?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|Visums, radīšana, cosmos, debesis un zeme, visums, viss, kas eksistē
Sky|Debesis
Use this domain for words related to the sky.|Izmantojiet šo domēnu vārdiem, kas saistīti ar debesīm.
(1) What words are used to refer to the sky?|(1) Kādi vārdi tiek izmantoti, lai atsauktos uz debesīm?
sky, firmament, canopy, vault|debesis, debess, nojume, velves
(2) What words refer to the air around the earth?|(2) Kādi vārdi attiecas uz gaisu ap Zemi?
air, atmosphere, airspace, stratosphere, ozone layer|gaiss, atmosfēra, gaisa telpa, stratosfērā, ozona slānis
(3) What words are used to refer to the place or area beyond the sky?|(3) Kādi vārdi tiek izmantoti, lai atsauktos uz vietu vai atrodas ārpus debesīm?
heaven, space, outer space, ether, void, solar system|debesis, telpa, kosmosā, ēteris, spēkā neesošu, Saules sistēma
(4) What words describe something in the sky or something that happens in the sky?|(4) Kādi vārdi aprakstīt kaut debesīs vai kaut kas notiek debesīs?
aerial, heavenly, atmospheric, stratospheric, celestial,|aerial, debesu, atmosfēras, stratosfēras, debess,
(5) What words describe the appearance of the sky?|(5) Kādi vārdi apraksta izskatu debesīm?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|zila, skaidrs, melns (nakts), mākoņains, mākonis piepildīta, izcili, tumšs, nakts debesis, nojauta, vētrains, tumšs, zvaigzne studded
(6) What words refer to the edge of the sky where it meets the ground?|(6) Kādi vārdi attiecas uz malas debesīs, kur tas atbilst zemi?
horizon, skyline|horizonts, skyline
(7) What words refer to something in the sky?|(7) Kādi vārdi attiecas uz kaut ko debesīs?
heavenly body, celestial body, luminary|debesu ķermenis, debess ķermenis, spīdeklis
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Kādi vārdi attiecas uz gaismas, kas parādās ziemeļu (vai dienvidu) debesīs?
aurora borealis, northern lights|Aurora Borealis, ziemeļblāzma
(9) What words refer to something being in the sky?|(9) Kādi vārdi attiecas uz kaut ko pagaidām debesīs?
aloft, up in the sky, up in the air,|augšā, debesīs, gaisā,
Sun|Saule
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Izmantojiet šo domēnu vārdiem, kas saistīti ar sauli. Saule dara trīs galvenās lietas. Tas kustas, tas dod gaismu, un tas dod siltumu. Šie trīs pasākumi ir iesaistīti nozīmēm lielāko vārdiem šajā jomā. Tā saule kustas zem horizonta, daudzi vārdi atsaukties uz to, nosakot, vai pieaug. Tā saule ir virs mākoņiem, daudzi vārdi atsaukties uz to virzās aiz mākoņiem un mākoņiem bloķē savu gaismu. Saules gaisma un siltums ražot arī sekundāru ietekmi. Saule izraisa augiem augt, un tas rada kaitējumu lietām.
(1) What words refer to the sun?|(1) Kādi vārdi attiecas uz sauli?
sun, solar, sol, daystar, our star|saule, saules, sol, Daystar, mūsu zvaigzne
