Universe, creation|විශ්වය, නිර්මාණය
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|භෞතික විශ්වය ගැන සඳහන් සාමාන්ය වචන සඳහා මෙම වසම භාවිතා කරන්න. සමහර භාෂා විශ්වය සඳහා තනි වචනයක් නොමැත හා එවැනි &#39;වැසි, පස, හා අහසේ දේවල්&#39; හෝ &#39;අහස, ඉඩම්, ජලය හා&#39; හෝ එවැනි ඔබට හැකි හැම දෙයක්ම &#39;ලෙස විස්තරාත්මක වැකිය ලෙස වැකියක් භාවිතා කිරීමට තිබිය හැකි &#39;පවත්නා හැම දෙයක්ම දකින්න&#39; හෝ &#39;.
(1) What words refer to everything we can see?|(1) මොන වචන අපට දැක ගත හැකි සෑම දෙයක්ම වෙත යොමු වන්න?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|විශ්වය, නිර්මාණය, විශ්වය, අහස හා පොළොව, macrocosm, පවතින සෑම දෙයක්ම
Sky|ස්කයි
Use this domain for words related to the sky.|අහස සම්බන්ධ වචන සඳහා මෙම වසම භාවිතා කරන්න.
(1) What words are used to refer to the sky?|(1) මොන වචන අහසට යොමු කිරීමට භාවිතා කරන්නේ?
sky, firmament, canopy, vault|අහස, ආකාශයේ, වියන්, සුරක්ෂිතාගාරය
(2) What words refer to the air around the earth?|(2) කුමක්ද වචන පෘථිවිය වටා ගුවන් වෙත යොමු වන්න?
air, atmosphere, airspace, stratosphere, ozone layer|ගුවන්, වායුගෝලය, ගුවන් තීරය, ඉහළ ගෝලය ඕසෝන් ස්ථරය
(3) What words are used to refer to the place or area beyond the sky?|(3) මොන වචන අහස ඔබ්බට තැනක හෝ විස්තර කරනු පිණිස භාවිත කරන්නේ?
heaven, space, outer space, ether, void, solar system|ස්වර්ගයේ, අවකාශය අභ්යවකාශය, ඊතර්, අඩුව, සූර්ය පද්ධතිය
(4) What words describe something in the sky or something that happens in the sky?|(4) කුමක්ද වචන අහස හෝ අහසේ සිදු වන දෙයක් යමක් විස්තර?
aerial, heavenly, atmospheric, stratospheric, celestial,|, ගුවන් ස්වර්ගීය, වායුගෝලීය, අපවර්තී ගෝලය, ආකාශ
(5) What words describe the appearance of the sky?|(5) කුමක්ද වචන අහසේ පෙනුම විස්තර?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|පත්වලින් සමන්විත නිල්, පැහැදිලි, (රාත්රී), කළු, වළාකුළු පිරි, වලාකුළෙන් පිරුණේ, දීප්තිමත්, අඳුරු, රාත්රී අහස, foreboding, කුණාටු සහිත, අඳුරු, තරු
(6) What words refer to the edge of the sky where it meets the ground?|(6) කුමක්ද වචන එය බිම හමුවෙයි එහිදී අහසේ අද්දර වෙත යොමු වන්න?
horizon, skyline|ක්ෂිතිජය, අහස
(7) What words refer to something in the sky?|(7) කුමක්ද වචන අහසේ දෙයක් වෙත යොමු වන්න?
heavenly body, celestial body, luminary|ස්වර්ගයේ ශරීරය, ආකාශ ශරීරය, luminary
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) කුමක්ද වචන උතුරු (හෝ දකුණු) අහසේ දිස්වන ආලෝක පහන් වෙත යොමු වන්න?
aurora borealis, northern lights|රෝරා borealis, උතුරු ලයිට්
(9) What words refer to something being in the sky?|(9) කුමක්ද වචන අහසේ වීම දෙයක් වෙත යොමු වන්න?
aloft, up in the sky, up in the air,|කණුව, දක්වා අහසේ, දක්වා ගුවන්,
Sun|ඉරිදා
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|හිරු හා සම්බන්ධ වචන සඳහා මෙම වසම භාවිතා කරන්න. හිරු තුනක් දේවල් කරන්නේ නැහැ. එය ආලෝකවත්, චලනය, එය තාපය ලබා දෙයි. මෙම තිදෙනාට ක්රියා මෙම වසම තුළ යන වචන බොහෝ අරුත් වී ඇත. ක්ෂිතිජය පහත හිරු පියවර නිසා, බොහෝ වචන එය පිහිටුවීම හෝ නැගී එන වෙත යොමු වන්න. හිරු වලාකුළු ඉහත බැවින්, බොහෝ වචන වලාකුළු සහ එහි ආලෝකය අවහිර වලාකුළු පිටුපස ගමන් එය වෙත යොමු වන්න. සූර්යයාගේ ආලෝකය හා තාපය ද ද්විතීයික බලපෑම්. හිරු පැළෑටි වගා කිරීම සඳහා හේතු, ඒ දේවල් හානි ඇති කරයි.
(1) What words refer to the sun?|(1) මොන වචන හිරු වෙත යොමු වන්න?
sun, solar, sol, daystar, our star|හිරු, සූර්ය, සොල්, daystar, අපේ තරු
