Universe, creation|Univers, il-ħolqien
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Uża dan id-dominju għall-kliem ġenerali li jirreferu għall-univers fiżiku. F&#39;xi lingwi jista &#39;ma jkollux kelma waħda għall-univers u jista&#39; jkollu juża frażi bħal &quot;xita, ħamrija, u affarijiet ta &#39;l-sema&quot; jew &quot;sema, art, u l-ilma&quot; jew frażi deskrittiva bħal &quot;dak kollu li tista tara &quot;jew&quot; dak kollu li jeżisti &quot;.
(1) What words refer to everything we can see?|(1) Liema kliem jirreferu għall dak kollu li nistgħu naraw?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|univers, il-ħolqien, Cosmos, sema u art, macrocosm, dak kollu li jeżisti
Sky|Sema
Use this domain for words related to the sky.|Uża dan id-dominju għall-kliem marbutin mal-Ajru.
(1) What words are used to refer to the sky?|(1) Liema kliem huma użati biex jirreferu għall-sema?
sky, firmament, canopy, vault|sema, firmament, kanupew, vault
(2) What words refer to the air around the earth?|(2) Dak kliem jirreferu għall-arja madwar id-dinja?
air, atmosphere, airspace, stratosphere, ozone layer|arja, atmosfera, arja, istratosfera, saff tal-ożonu
(3) What words are used to refer to the place or area beyond the sky?|(3) Liema kliem huma użati biex jirreferu għall-post jew iż-żona lil hinn mill-sema?
heaven, space, outer space, ether, void, solar system|sema, l-ispazju, l-ispazju ta &#39;barra, etere, null, sistema solari
(4) What words describe something in the sky or something that happens in the sky?|(4) Liema kliem jiddeskrivi xi ħaġa fis-sema jew xi ħaġa li jiġri fis-sema?
aerial, heavenly, atmospheric, stratospheric, celestial,|ajru, heavenly, atmosferika, fl-istratosfera, ċelesti,
(5) What words describe the appearance of the sky?|(5) Liema kliem jiddeskrivi d-dehra tas-sema?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|blu, ċara, iswed (lejl), imdardra, sħaba mimlija, brillanti, dlam, sema bil-lejl, foreboding, maltemp, dlam, star studded
(6) What words refer to the edge of the sky where it meets the ground?|(6) Dak kliem jirreferu għall-tarf tas-sema fejn tiltaqa &#39;l-art?
horizon, skyline|orizzont, orizzont
(7) What words refer to something in the sky?|(7) Liema kliem jirreferu għal xi ħaġa fis-sema?
heavenly body, celestial body, luminary|korp heavenly, korp ċelesti, luminary
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Liema kliem jirreferu għall-dwal li jidhru fil-tramuntana (jew tan-nofsinhar) sema?
aurora borealis, northern lights|Aurora Borealis, dwal tat-tramuntana
(9) What words refer to something being in the sky?|(9) Liema kliem jirreferu għal xi ħaġa li tkun fis-sema?
aloft, up in the sky, up in the air,|aloft, up fil-sema, fl-arja,
Sun|Xemx
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Uża dan id-dominju għall-kliem relatati mal-xemx. Ix-xemx ma tliet affarijiet bażiċi. Jiċċaqlaq, hija tagħti dawl, u dan jagħti sħana. Dawn it-tliet azzjonijiet huma involuti fil-tifsiriet ta &#39;ħafna mill-kliem f&#39;dan il-qasam. Peress li l-xemx jiċċaqlaq taħt il-orizzont, ħafna kliem jirreferu għaliha iffissar jew jogħlew. Peress li l-xemx hija fuq il-sħab, ħafna kliem jirreferu għaliha jiċċaqilqu wara il-sħab u l-sħab imblukkar dawl tiegħu. Dawl tax-xemx u s-sħana jipproduċu wkoll effetti sekondarji. Ix-xemx tikkawża pjanti li jikbru, u li jikkawża ħsara lill-affarijiet.
(1) What words refer to the sun?|(1) Liema kliem jirreferu għax-xemx?
sun, solar, sol, daystar, our star|xemx, mix-xemx, sol, Daystar, star tagħna
