Universe, creation|Universe, stvaranje
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Koristite ovu domena za opšte riječi koje se odnose na fizičku univerzum. Neki jezici ne može imati jednu riječ za univerzum i može imati koristiti frazu kao što je &quot;kiša, tla i stvari s neba&quot; ili &quot;nebo, zemlju i vodu&quot; ili opisne fraze kao što su &quot;sve što možete pogledajte &#39;ili&#39; sve što postoji &#39;.
(1) What words refer to everything we can see?|(1) Ono što riječi odnose se na sve što možemo vidjeti?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|svemira, stvaranje, Kosmos, nebo i zemlja, makrokosmosa, sve što postoji
Sky|Nebo
Use this domain for words related to the sky.|Koristite ovu domena za riječi koje se odnose na nebu.
(1) What words are used to refer to the sky?|(1) Ono što riječi se koriste da se odnosi na nebu?
sky, firmament, canopy, vault|nebo, nebeski svod, nadstrešnica, trezor
(2) What words refer to the air around the earth?|(2) Ono što riječi se odnose na zrak oko Zemlje?
air, atmosphere, airspace, stratosphere, ozone layer|zrak, atmosferu, zračni prostor, stratosfera, ozonski omotač
(3) What words are used to refer to the place or area beyond the sky?|(3) Što se riječi koriste da se odnosi na mjesto ili područja izvan neba?
heaven, space, outer space, ether, void, solar system|neba, prostor, vanjski prostor, eter, void, solarni sistem
(4) What words describe something in the sky or something that happens in the sky?|(4) Ono što riječi opisuju nešto na nebu, ili nešto što se dešava na nebu?
aerial, heavenly, atmospheric, stratospheric, celestial,|antenu, nebeski, atmosferska, stratosfere, nebeski,
(5) What words describe the appearance of the sky?|(5) Ono što riječi opisuju izgled neba?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|plava, jasno, crna (noći), oblačno, oblak ispunjen, sjajan, tamno, noćno nebo, zloslutno, olujnim, tamno, zvijezda optočen
(6) What words refer to the edge of the sky where it meets the ground?|(6) Što riječi odnose se na rubu neba, gdje se sastaje zemlju?
horizon, skyline|horizonta, skyline
(7) What words refer to something in the sky?|(7) Koji riječi odnose na nešto na nebu?
heavenly body, celestial body, luminary|nebesko tijelo, nebesko tijelo, ktitorom
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Što riječi odnose se na svjetla koje se pojavljuju u sjevernom (ili jugu) neba?
aurora borealis, northern lights|aurora borealis, Northern Lights
(9) What words refer to something being in the sky?|(9) Koji riječi odnose na nešto što na nebu?
aloft, up in the sky, up in the air,|Aloft, gore na nebu, u vazduhu,
Sun|Sunce
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Koristite ovu domena za riječi koje se odnose na suncu. Sunce radi tri osnovne stvari. Se kreće, daje svjetlo, a to daje toplotu. Ove tri akcije su uključeni u značenja većine riječi u ovoj oblasti. Budući da je sunce kreće ispod horizonta, mnoge riječi se odnose na to postavljanje ili raste. S obzirom da je Sunce iznad oblaka, mnoge riječi se odnose na to kreće iza oblaka i oblaci blokiranja svoje svjetlo. Svjetlo sunčeve topline i proizvoditi sekundarne efekte. Sunce uzrokuje biljke rasti, a to uzrokuje oštećenja stvari.
(1) What words refer to the sun?|(1) Ono što riječi odnose se na suncu?
sun, solar, sol, daystar, our star|Sunce, solarna, sol, Daystar, naša zvezda
