Universe, creation|Universe, yaratish
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Jismoniy koinotning nazarda umumiy aytganda, bu domen foydalaning. Ba&#39;zi tillar koinot uchun bir so&#39;z bo&#39;lmasligi mumkin va bunday mumkin &quot;har bir narsani sifatida« yomg&#39;ir, tuproq va osmonning narsalar »yoki« osmon, er, suv va &quot;yoki tavsiflovchi ibora sifatida ifoda foydalanish kerak bo&#39;lishi mumkin mavjud »yoki« har bir narsani &quot;qarang.
(1) What words refer to everything we can see?|(1) Biz har bir narsani nima so&#39;zlar murojaat qiling ko&#39;rishingiz mumkin?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|mavjud olam, yaratish, koinot, osmon va yer, koinot, har bir narsa
Sky|Osmon
Use this domain for words related to the sky.|Osmon bilan bog&#39;liq so&#39;zlar uchun bu domen foydalaning.
(1) What words are used to refer to the sky?|(1) nima so&#39;zlar osmonga uchun ishlatiladi?
sky, firmament, canopy, vault|osmon, osmon, soyabon, Vault
(2) What words refer to the air around the earth?|(2) nima so&#39;zlari er atrofida havo qarang?
air, atmosphere, airspace, stratosphere, ozone layer|havo, atmosfera, havo bo&#39;shlig&#39;i, stratosfera, ozon qatlami
(3) What words are used to refer to the place or area beyond the sky?|(3) nima so&#39;zlar osmon orqasida joy yoki sohada murojaat uchun ishlatiladi?
heaven, space, outer space, ether, void, solar system|osmon, olam, tashqi olam, osmon, bo&#39;sh, quyosh tizimi
(4) What words describe something in the sky or something that happens in the sky?|(4) nima so&#39;zlar osmonda sodir osmonda yoki narsa, bir narsa tasvirlab?
aerial, heavenly, atmospheric, stratospheric, celestial,|, samoviy, havo samoviy, atmosfera, stratosferik
(5) What words describe the appearance of the sky?|(5) nima so&#39;zlar osmonning ko&#39;rinishini tasvirlab?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|ko&#39;k, tiniq, qora (kecha), bulutli, bulut to&#39;lib, brilliant, qorong&#39;i, tun osmon, oldindan sezish, bo&#39;ronli, qorong&#39;u, yulduz shitirlashi
(6) What words refer to the edge of the sky where it meets the ground?|(6) nima so&#39;zlar zamin, uni uchrashdi osmonning chetiga qarang?
horizon, skyline|ufq, ufq chizig&#39;i
(7) What words refer to something in the sky?|(7) nima so&#39;zlar osmonda biror narsa qarang?
heavenly body, celestial body, luminary|samoviy jismlarning, samoviy tana, yoritgich
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) nima so&#39;zlar shimoliy (yoki janubiy) osmonda paydo chiroqlar qarang?
aurora borealis, northern lights|ëg&#39;du, shimoliy yorug&#39;lik
(9) What words refer to something being in the sky?|(9) nima so&#39;zlar osmonda bo&#39;lish narsa qarang?
aloft, up in the sky, up in the air,|yuqorida, yuqoriga osmonda, havoga,
Sun|Quyosh
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Quyosh bilan bog&#39;liq so&#39;zlar uchun bu domen foydalaning. quyosh uch asosiy narsani qiladi. Bu nur beradi, harakat va issiqlik beradi. Bu uch harakatlar bu domen so&#39;zlarning eng ma&#39;nolari ham jalb qilingan. Quyosh ufq ostida harakat boshlab, bir qancha so&#39;zlar u sozlamalari yoki chiqish uchun murojaat qiling. Quyosh bulutlar ustida bo&#39;lgani uchun, ko&#39;plab so&#39;zlar bulutlar va uning nurini to&#39;sib bulutlar ortida harakat unga murojaat qiling. quyosh nuri va issiqlik ham ikkinchi darajali ta&#39;sir ishlab chiqaradi. quyosh o&#39;simliklar o&#39;sishi sabab, va u narsalar zararga sabab bo&#39;ladi.
(1) What words refer to the sun?|(1) nima so&#39;zlar quyosh qarang?
sun, solar, sol, daystar, our star|quyosh, quyosh, chap, DAYSTAR, bizning yulduz
