Universe, creation|Universe, sköpun
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Notaðu þetta lén fyrir almenna orð sem vísa til líkamlega alheimsins. Sumir tungumál séu ekki með eitt orð fyrir alheiminum og gæti þurft að nota orð eins og &quot;rigning, jarðvegi, og það á himninum&quot; eða &quot;himininn, land og vatn &#39;eða lýsandi setningu eins og&quot; allt sem þú getur sjá &quot;eða&quot; Allt sem er á &#39;.
(1) What words refer to everything we can see?|(1) Hvaða orð vísa til allt sem við getum séð?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|alheimurinn, sköpun, Cosmos, himinn og jörð, macrocosm, allt sem er til
Sky|Sky
Use this domain for words related to the sky.|Notaðu þetta lén fyrir orð sem tengjast himins.
(1) What words are used to refer to the sky?|(1) Hvað orð eru notuð til að vísa til himins?
sky, firmament, canopy, vault|himinn, festingu, tjaldhiminn, gröfina
(2) What words refer to the air around the earth?|(2) Hvaða orð vísa til loftinu í kringum jörðina?
air, atmosphere, airspace, stratosphere, ozone layer|loft, andrúmsloft, lofthelgi, heiðhvolfinu, ósonlagið
(3) What words are used to refer to the place or area beyond the sky?|(3) Hvað orð eru notuð til að vísa til staðar eða það svæði utan himninum?
heaven, space, outer space, ether, void, solar system|himinn, rúm, geimnum, eter, ógilt, sól kerfi
(4) What words describe something in the sky or something that happens in the sky?|(4) Hvaða orð lýsa eitthvað í himninum eða eitthvað sem gerist í himninum?
aerial, heavenly, atmospheric, stratospheric, celestial,|loftnet, himneski, andrúmslofti, heiðhvolfi, himneskur,
(5) What words describe the appearance of the sky?|(5) Hvaða orð lýsa útliti himninum?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|blár, ljóst, svart (nótt), skýjað, fyllti skýið, ljómandi, dökk, nótt himinn, hugboð, stormasamt, dökk, stjörnu foli
(6) What words refer to the edge of the sky where it meets the ground?|(6) Hvaða orð vísa til brún himins þar sem það mætir jörð?
horizon, skyline|sjóndeildarhringinn, Sjóndeildarhringur
(7) What words refer to something in the sky?|(7) Hvaða orð vísa til eitthvað í himninum?
heavenly body, celestial body, luminary|himneskur líkami, himneskur líkami, Luminary
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Hvaða orð vísa til ljósin sem birtast í norðurhluta (eða suður) himins?
aurora borealis, northern lights|norðurljósin, Northern Lights
(9) What words refer to something being in the sky?|(9) Hvaða orð vísa til eitthvað að vera í himninum?
aloft, up in the sky, up in the air,|lofti, upp í himininn, upp í loft,
Sun|Sun
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Notaðu þetta lén fyrir orð sem tengjast sólinni. Sólin er þrjú atriði. Það færist, þá lýsir, og það gefur hita. Þessir þrír aðgerðir taka þátt í merkingu flestra orða í þessu léni. Þar sem sólin færist neðan sjóndeildarhring, mörg orð vísa til það setja eða vaxandi. Þar sem sólin er fyrir ofan skýin, mörg orð vísa til þess að færa bak við skýin og skýin blokkandi ljós sitt skína. Ljósi sólar og hita framleiða einnig efri áhrif. Sólin veldur plöntur að vaxa, og það veldur tjóni á hlutum.
(1) What words refer to the sun?|(1) Hvaða orð vísa til sólarinnar?
sun, solar, sol, daystar, our star|sól, sól, sól, DAYSTAR, stjörnu okkar
