Universe, creation|Caalamka, abuuridda
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Isticmaal domain this waayo, erayadii guud u jeeday caalamka jirka. Qaar ka mid ah luqadaha laga yaabaa in aysan haysan hal eray oo loogu caalamka oo waxaa laga yaabaa in ay isticmaalaan weedh ah sida &#39;roob, ciidda, iyo waxyaalaha samada&#39; ama &#39;samada, dhulka, iyo biyo ama weedh uu sharaxayaa sida&#39; wax kasta oo aad awoodo eeg &#39;ama&#39; wax kasta oo ay ka jirto &#39;.
(1) What words refer to everything we can see?|(1) in wax walba maxay erayada xawilaad waxaan ka arki karnaa?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|koonkan, abuuridda, Cosmos, samada iyo dhulka, macrocosm, wax walba oo ka jira
Sky|Sky
Use this domain for words related to the sky.|Isticmaal domain this waayo, erayadii xiriira samada.
(1) What words are used to refer to the sky?|(1) Waa maxay erayada waxaa loo isticmaalaa in tixraac samada duusha?
sky, firmament, canopy, vault|Samada, meeshii bannaanka ahayd, Cirkana dhismo, dhalka
(2) What words refer to the air around the earth?|(2) Waa ereyo tixraac hawada ku wareegsan dhulka?
air, atmosphere, airspace, stratosphere, ozone layer|hawada, jawiga, hawada, ahan, Lakabka Allena
(3) What words are used to refer to the place or area beyond the sky?|(3) Waa maxay ereyada la isticmaalo si uu u tilmaamo meesha ama meel ka baxsan samada duusha?
heaven, space, outer space, ether, void, solar system|samada, meel, meel dibadda ah, iyo Ceter, uu madhan yahay, nidaamka tamarta qoraxda
(4) What words describe something in the sky or something that happens in the sky?|(4) Maxay erayada wax ugu sharraxo Samada, ama wax dhacdo ah oo cirka jooga?
aerial, heavenly, atmospheric, stratospheric, celestial,|anteenada, jannada, atmosfeerta, Feguson, Falag,
(5) What words describe the appearance of the sky?|(5) Maxaa erayo lagu qeexo muuqashada cirka ah?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|buluug ah, cad, madow (habeenkii), daruur oo kale ah, daruurtii ka buuxsantay, cajiib ah, madow cirka habeenkii,, foreboding, duufaanka, oo mugdi ah, xiddiga ayaana dhameystiray
(6) What words refer to the edge of the sky where it meets the ground?|(6) Waa ereyo tixraac ku laayeen samada halkaas oo ay la kulanto dhulka?
horizon, skyline|kaabiga, skyline
(7) What words refer to something in the sky?|(7) Maxay erayada tixraac wax ku samada duusha?
heavenly body, celestial body, luminary|jirka jannada, jirka kuwa samadu, luminary
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Maxay erayada tixraac nalalka muuqda Samada waqooyiga (ama koonfurta)?
aurora borealis, northern lights|Aurora borealis, nalalka waqooyiga
(9) What words refer to something being in the sky?|(9) Maxaa erayada tixraac wax isagoo ku sugan samada duusha?
aloft, up in the sky, up in the air,|hawada, kor samada, ilaa hawada,
Sun|Sun
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Isticmaal domain this waayo, erayadii xiriira qorraxda. Oo qorraxdii waxay ku sameeya saddex shay oo aasaasi ah. Waxaa guuro, waxaa iftiimiyaa, iyo waxay siinaysaa kulaylka. Saddexdan falalka ay ku lug leeyihiin macnaha inta badan ereyada ku domain this. Tan iyo markii qorraxdu soo guuro hoos bidhaamayaan, erayo fara badan si ay u dejinta ama u kacaya. Tan iyo markii qorraxdu soo baxdo waa kor ku daruuraha, erayo fara badan waxa ka dambeeya inuu u dhaqaaqo daruurta iyo daruuraha ka xanibeen iftiinkeeda. Ilayska qorraxda iyo kulaylka ayaa sidoo kale saameyn sare. Oo qorraxdii waxay ku keentaa in dhirta si ay u koraan, oo wuxuu waxyeello u keenaa wax.
(1) What words refer to the sun?|(1) Waa maxay erayada gudbin qorraxda?
sun, solar, sol, daystar, our star|qorraxda, qoraxda, Sol, Daystar, noo Xiddiga
