Universe, creation|Universe, alkotás
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Használja ezt a tartományt általános szavakat utalva a fizikai univerzumot. Néhány nyelv nem lehet egyetlen szóval a világegyetem és lehet, hogy használ olyan megfogalmazások, mint &quot;az eső, a talaj, és a dolgok az ég&quot; vagy &quot;ég, a föld és a víz&quot; vagy a leíró kifejezés, mint a &quot;mindent, amit lehet lásd &quot;vagy&quot; mindent, ami létezik &quot;.
(1) What words refer to everything we can see?|(1) Milyen szavakat utal a mindent látjuk?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|világegyetem, alkotás, világegyetem, ég és föld, makrokozmosz, minden, ami létezik
Sky|Ég
Use this domain for words related to the sky.|Használja ezt a tartományt kapcsolatos szavak az ég.
(1) What words are used to refer to the sky?|(1) Milyen szavakat használnak, hogy utalja az égen?
sky, firmament, canopy, vault|ég, égbolt, canopy, boltozat
(2) What words refer to the air around the earth?|(2) Milyen szavakat olvassa el a levegő a Föld körül?
air, atmosphere, airspace, stratosphere, ozone layer|levegő, légkör, a légtér, sztratoszféra, az ózonréteg
(3) What words are used to refer to the place or area beyond the sky?|(3) Milyen szavakat használnak, olvassa el a helyét vagy túli terület ég?
heaven, space, outer space, ether, void, solar system|ég, tér, a világűrben, éter, semmis, naprendszerben
(4) What words describe something in the sky or something that happens in the sky?|(4) Milyen szavak írják le valamit az égen, vagy valami, ami történik az égen?
aerial, heavenly, atmospheric, stratospheric, celestial,|antenna, mennyei, hangulatos, sztratoszférikus, égi,
(5) What words describe the appearance of the sky?|(5) Milyen szavak írják megjelenése az ég?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|kék, világos, fekete (éjszakai), felhős, felhő tele, ragyogó, sötét, éjszakai égbolt, rossz előérzet, viharos, sötét, sztárokkal
(6) What words refer to the edge of the sky where it meets the ground?|(6) Milyen szavakat olvassa el a szélét az ég, ahol találkozik a földön?
horizon, skyline|horizont, láthatár
(7) What words refer to something in the sky?|(7) Milyen szavak utalnak valamit az égen?
heavenly body, celestial body, luminary|égitest, égitest, égitest
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Milyen szavakat olvassa el a fények jelennek meg az északi (vagy déli) ég?
aurora borealis, northern lights|aurora borealis, az északi fény
(9) What words refer to something being in the sky?|(9) Milyen szavakat valamire hivatkozhatnak, hogy az égen?
aloft, up in the sky, up in the air,|magasba, fel az égen, akár a levegőben,
Sun|Nap
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Használja ezt a tartományt kapcsolatos szavak a nap. A nap nem három alapvető dolgot. Ez mozgatja, ez ad fényt, és ez ad meleget. Ez a három művelet részt vesznek a jelentését a legtöbb szó ezen a területen. Mivel a Nap átlép a horizont alatt, sok szó hivatkozni rá beállítása vagy emelkedik. Mivel a nap a felhők felett, sok szó utalnak, hogy mozog a felhők mögött, és a felhők blokkoló a fény. A Nap fényt és hőt is termel másodlagos hatásokat. A Nap okozza növények növekedését, és ez kárt okoz a dolgokat.
(1) What words refer to the sun?|(1) Milyen szavak utalnak a nap?
sun, solar, sol, daystar, our star|nap, nap-, sol, daystar, a sztár
