Universe, creation|Universe, құру
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Физикалық Әлемнің сілтеме жалпы сөздер үшін осы доменді пайдаланыңыз. Кейбір тілдер Әлемнің үшін бір сөз болуы мүмкін және осындай &#39;жаңбыр, топырақ, және аспан нәрселер&#39; немесе &#39;аспан, жер және су «немесе осындай, сіз аласыз барлық&#39; ретінде сипаттама тіркесін ретінде сөз тіркесін пайдалану болуы мүмкін &#39;бар бәрін қараңыз&#39; немесе &#39;.
(1) What words refer to everything we can see?|(1) қандай сөздер біз көре аламыз барлық қараңыз?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|Әлемнің, құру, ғарыш, аспан мен жер, микрокосмос, бар барлық
Sky|Аспан
Use this domain for words related to the sky.|Аспан байланысты сөздер үшін осы доменді пайдаланыңыз.
(1) What words are used to refer to the sky?|(1) қандай сөздер аспанға қараңыз үшін пайдаланылады?
sky, firmament, canopy, vault|аспан, firmament, қалқа, қойма
(2) What words refer to the air around the earth?|(2) қандай сөздер жер айналасында ауаның қараңыз?
air, atmosphere, airspace, stratosphere, ozone layer|әуе, атмосфера, әуе кеңістігін, стратосфераның, озон қабаты
(3) What words are used to refer to the place or area beyond the sky?|(3) қандай сөздер аспан тыс жерде немесе аймаққа қараңыз үшін пайдаланылады?
heaven, space, outer space, ether, void, solar system|аспан, ғарыш, ғарыш, эфир, жарамсыз, күн жүйесі
(4) What words describe something in the sky or something that happens in the sky?|(4) қандай сөздер аспан немесе аспан жүреді нәрсе нәрсе сипаттау?
aerial, heavenly, atmospheric, stratospheric, celestial,|, әуе көктегі, атмосфералық, стратосфералық, аспан
(5) What words describe the appearance of the sky?|(5) қандай сөздер аспан көрінісін сипаттау?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|шипованная көк, айқын, (түн) қара, бұлтты, бұлтты толтырылған, тамаша, қараңғы, түнгі аспан, Foreboding, дауыл, қара, жұлдыз
(6) What words refer to the edge of the sky where it meets the ground?|(6) қандай сөздер оны жерге сай аспан шетіне қараңыз?
horizon, skyline|көкжиегі, көкжиегі
(7) What words refer to something in the sky?|(7) қандай сөздер аспанда бір нәрсе жатады?
heavenly body, celestial body, luminary|аспан денесі, аспан денесі, люминарлық
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Қандай сөздер солтүстік (немесе оңтүстік) аспанда пайда шамдары қараңыз?
aurora borealis, northern lights|Aurora Borealis, солтүстік шамдар
(9) What words refer to something being in the sky?|(9) қандай сөздер аспанда болып табылатын бір нәрсе жатады?
aloft, up in the sky, up in the air,|Aloft дейін аспанда, жоғары ауада,
Sun|Күн
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Күннің байланысты сөздер үшін осы доменді пайдаланыңыз. Күн үш негізгі заттарды жасайды. Ол жарық береді, жылжытады, және ол жылу береді. Бұл үш іс-шаралар осы доменде сөздер көптеген мағынада қатысады. Көкжиегі күн жүріп жылдан бастап, көптеген сөздер ол орнату немесе өскелең қараңыз. Күн бұлттар жоғары болғандықтан, көптеген сөздер бұлттар және оның жарық тосқауыл бұлттар артта қозғалып, оған қараңыз. күн жарық және жылу, сондай-ақ қайталама әсерлер. Күн өсімдіктер өсе туғызады, және бұл заттарға зиян тигізеді.
(1) What words refer to the sun?|(1) қандай сөздер күн қараңыз?
sun, solar, sol, daystar, our star|Күн, күн, тұз, DAYSTAR, біздің жұлдызды
