Universe, creation|Сусвет, стварэнне
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Выкарыстоўвайце гэты дамен для агульных слоў, якія адносяцца да фізічнай сусвету. У некаторых мовах могуць не мець ніводнага слова для Сусвету і, магчыма, прыйдзецца выкарыстоўваць фразу, такія як &quot;дождж, глебы і рэчаў на небе» або «неба, зямля і вада» ці апісальных выразы, такія як «усё, што можна см &#39;ці&#39; ўсё, што існуе ».
(1) What words refer to everything we can see?|(1) Якія словы адносяцца да ўсё, што мы можам бачыць?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|Сусвет, стварэнне, космас, неба і зямля, макрасвет, усё, што існуе
Sky|Неба
Use this domain for words related to the sky.|Выкарыстоўвайце гэты дамен для слоў, звязаных з неба.
(1) What words are used to refer to the sky?|(1) Якія словы выкарыстоўваюцца для абазначэння у неба?
sky, firmament, canopy, vault|неба, небасхіл, купал, звод
(2) What words refer to the air around the earth?|(2) Тое, што словы ставяцца да паветра вакол Зямлі?
air, atmosphere, airspace, stratosphere, ozone layer|паветра, атмасфера, паветраную прастору, стратасфера, азонавы пласт
(3) What words are used to refer to the place or area beyond the sky?|(3) Якія словы выкарыстоўваюцца для абазначэння месца або зоны за межамі неба?
heaven, space, outer space, ether, void, solar system|неба, космас, космас, эфір, пустата, Сонечная сістэма
(4) What words describe something in the sky or something that happens in the sky?|(4) Якія словы апісваюць нешта ў небе ці нешта, што адбываецца ў небе?
aerial, heavenly, atmospheric, stratospheric, celestial,|антэна, нябесны, атмасферны стратасферы, нябеснае,
(5) What words describe the appearance of the sky?|(5) Якія словы апісваюць знешні выгляд неба?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|сіні, празрысты, чорны (ноч), воблачна, воблака напоўніла, бліскучыя, цёмна, ноч неба, прадчуванне, бурная, цёмная, зорнага
(6) What words refer to the edge of the sky where it meets the ground?|(6) Якія словы адносяцца да краю неба, дзе яго сустракае зямлю?
horizon, skyline|гарызонт, гарызонт
(7) What words refer to something in the sky?|(7) Якія словы адносяцца да чаго-то ў небе?
heavenly body, celestial body, luminary|нябеснае цела, нябеснае цела, свяціла
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Якія словы адносяцца да агнёў, якія з&#39;яўляюцца ў паўночнай (або паўднёвай) неба?
aurora borealis, northern lights|Aurora Borealis, паўночнае ззянне
(9) What words refer to something being in the sky?|(9) Якія словы адносяцца да чаго-то, знаходзячыся ў небе?
aloft, up in the sky, up in the air,|уверх, у неба, у паветры,
Sun|Сонца
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Выкарыстоўвайце гэты дамен для слоў, звязаных з сонцам. Сонца робіць тры асноўныя рэчы. Яна рухаецца, гэта дае святло, і гэта дае цяпло. Гэтыя тры дзеянні ўдзельнічаюць у значэннях большасць слоў у гэтай галіне. Так сонца рухаецца ніжэй лініі гарызонту, многія словы ставяцца да яго ўстаноўкі або расце. Так сонца над аблокамі, многія словы ставяцца да яго рухаецца за аблокамі і хмарамі, блакавальных яго святло. Сонечны святло і цяпло таксама другасныя эфекты. Сонца выклікае расліны расці, і гэта прыводзіць да пашкоджання рэчаў.
(1) What words refer to the sun?|(1) Якія словы адносяцца да сонца?
sun, solar, sol, daystar, our star|сонца, сонечны, соль, дзённае свяціла, наша зорка
