Universe, creation|Wszechświat, tworzenie
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Użyj tej domeny dla ogólnych słów odnoszących się do świata fizycznego. Niektóre języki mogą nie mieć ani jednego słowa o wszechświecie i może użyć frazy takie jak &quot;deszcz, gleby i rzeczy na niebie&quot; lub &quot;nieba, ziemi i wody&quot; lub opisowe wyrażenie, takie jak &quot;wszystko, co można zobacz &quot;lub&quot; wszystko, co istnieje &quot;.
(1) What words refer to everything we can see?|(1) Jakie słowa odnoszą się do wszystkiego, co widzimy?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|Wszechświat, stworzenie, kosmos, niebo i ziemia, makrokosmosu, wszystko, co istnieje
Sky|Niebo
Use this domain for words related to the sky.|Użyj tej domeny dla słów związanych z nieba.
(1) What words are used to refer to the sky?|(1) co słowa są stosowane w odniesieniu do nieba?
sky, firmament, canopy, vault|niebo, firmament, baldachim, sklepienie
(2) What words refer to the air around the earth?|(2) Jakie słowa odnoszą się do powietrza wokół Ziemi?
air, atmosphere, airspace, stratosphere, ozone layer|powietrze, atmosfera, przestrzeń powietrzna, Stratosfera, warstwa ozonowa
(3) What words are used to refer to the place or area beyond the sky?|(3) co słowa są stosowane w odniesieniu do miejsca lub obszaru poza powietrznej?
heaven, space, outer space, ether, void, solar system|niebo, przestrzeń, przestrzeń kosmiczna, eter, nieważne, układ słoneczny
(4) What words describe something in the sky or something that happens in the sky?|(4) Jakie słowa opisać coś w niebie, czy coś, co dzieje się w niebie?
aerial, heavenly, atmospheric, stratospheric, celestial,|anteny, rajskie, atmosferyczne, stratosferze, niebieskie,
(5) What words describe the appearance of the sky?|(5) Jakie słowa opisują wygląd nieba?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|niebieski, jasny, czarny (noc), pochmurno, Chmura wypełniony, genialny, ciemne, nocne niebo, przeczucia, burzliwy, ciemny, gwiazda studded
(6) What words refer to the edge of the sky where it meets the ground?|(6) Jakie słowa odnoszą się do krawędzi nieba, gdzie spotyka się z ziemi?
horizon, skyline|horyzont, skyline
(7) What words refer to something in the sky?|(7) Jakie słowa odnoszą się do czegoś na niebie?
heavenly body, celestial body, luminary|ciało niebieskie, ciało niebieskie, luminarz
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Jakie słowa odnoszą się do światła, które pojawiają się w północnej (lub południowej) na niebie?
aurora borealis, northern lights|zorza polarna, zorza polarna
(9) What words refer to something being in the sky?|(9) Jakie słowa odnoszą się do czegoś, będącej w niebie?
aloft, up in the sky, up in the air,|w górę, w niebo, w powietrzu,
Sun|Słońce
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Użyj tej domeny dla słów związanych z słońca. Słońce ma trzy podstawowe rzeczy. Porusza się, daje światło i daje ciepło. Te trzy działania są zaangażowani w znaczeniami większość słów w tej dziedzinie. Ponieważ słońce porusza się za horyzontem, wiele słów, że odnoszą się do ustalania lub rośnie. Ponieważ słońce jest ponad chmurami, wiele słów odnosi się do niego w ruchu za chmury i chmury blokując jego światło. Światło słoneczne i ciepło wytwarzają również skutki uboczne. Słońce powoduje, że rośliny rosną, a to powoduje uszkodzenie rzeczy.
(1) What words refer to the sun?|(1) Jakie słowa odnoszą się do słońca?
sun, solar, sol, daystar, our star|Słońce, słońce, słońce, daystar, nasza gwiazda
